pl_hostname,is_transiting,Tmag,total_sectors_obsd
WASP-62,1,9.716,10
WASP-100,1,10.307,12
WASP-126,1,10.555,10
HATS-24,1,12.211,1
OGLE-TR-10,1,14.72,1
HD 160691,0,4.707,1
HD 160691,0,4.707,1
HD 160691,0,4.707,1
HD 160691,0,4.707,1
HD 147513,0,4.954,1
HD 39091,0,5.097,5
HR 2562,0,5.565,11
HD 156411,0,6.134,1
HD 38283,0,6.145,12
HD 159868,0,6.549,1
HD 159868,0,6.549,1
HD 154857,0,6.551,1
HD 154857,0,6.551,1
HD 142415,0,6.757999999999999,1
HD 153950,0,6.829,1
HD 142022 A,0,7.005,1
GJ 674,0,7.152,1
HD 148156,0,7.1720000000000015,1
HD 175167,0,7.331,1
HD 131664,0,7.523,2
HD 147873,0,7.53,1
HD 147873,0,7.53,1
HD 154672,0,7.5779999999999985,1
HD 147018,0,7.595,1
HD 147018,0,7.595,1
HD 30177,0,7.735,9
HD 30177,0,7.735,9
GJ 676 A,0,7.885,1
GJ 676 A,0,7.885,1
GJ 676 A,0,7.885,1
GJ 676 A,0,7.885,1
HD 162020,0,8.041,1
HD 129445,0,8.124,2
AB Pic,0,8.265,12
HD 63454,0,8.3876,5
HD 166724,0,8.46609,1
HD 27894,0,8.508,7
HD 27894,0,8.508,7
HD 27894,0,8.508,7
HD 68402,0,8.514,5
HD 152079,0,8.552,1
HD 165155,0,8.674,1
CT Cha,0,10.799,1
WD 0806-661,0,13.707,8
OGLE-2008-BLG-092L,0,13.747,1
MOA-2008-BLG-379L,0,13.959,1
CHXR 73,0,14.424,1
MOA-2010-BLG-328L,0,14.87,1
OGLE-2012-BLG-0406L,0,15.129,1
OGLE-2007-BLG-368L,0,15.855,1
MOA-2010-BLG-477L,0,15.862,1
MOA-2008-BLG-310L,0,15.88,1
OGLE-2014-BLG-0676L,0,16.005,1
MOA-2009-BLG-266L,0,16.829,1
GJ 667 C,0,18.459,1
GJ 667 C,0,18.459,1
GJ 667 C,0,18.459,1
GJ 667 C,0,18.459,1
GJ 667 C,0,18.459,1
