pl_hostname,is_transiting,Tmag,total_sectors_obsd
WASP-18,1,8.833,2
WASP-8,1,9.109,1
WASP-8,1,9.109,1
WASP-117,1,9.632,2
WASP-62,1,9.716,10
WASP-97,1,9.956,1
WASP-29,1,10.195,1
WASP-20,1,10.211,1
WASP-100,1,10.307,12
WASP-126,1,10.555,10
WASP-105,1,11.192,2
WASP-6,1,11.409,1
WASP-45,1,11.438,1
WASP-5,1,11.502,1
WASP-119,1,11.547,6
HATS-30,1,11.632,2
WASP-4,1,11.778,1
WASP-96,1,11.857,1
K2-54,1,12.974,1
HATS-46,1,12.98,2
HATS-34,1,13.129,2
HATS-16,1,13.199000000000002,1
K2-57,1,13.282,1
HATS-32,1,13.684,1
Fomalhaut,0,1.537,1
HD 27442,0,3.334,6
HD 11977,0,4.504,2
HR 810,0,4.907,2
HD 10647,0,4.999,2
HD 142,0,5.167000000000002,1
HD 142,0,5.167000000000002,1
GJ 86,0,5.176,2
HR 2562,0,5.565,11
HD 4308,0,5.922999999999999,2
HD 38283,0,6.145,12
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 212771,0,6.752999999999999,1
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HIP 8541,0,6.859,2
HD 220689,0,7.176,1
HD 8535,0,7.1960000000000015,2
HD 4113,0,7.244,1
HD 25171,0,7.252000000000002,7
HD 7199,0,7.307,2
HD 65216,0,7.331,9
HD 65216,0,7.331,9
GJ 876,0,7.5070000000000014,1
GJ 876,0,7.5070000000000014,1
GJ 876,0,7.5070000000000014,1
GJ 876,0,7.5070000000000014,1
HD 224693,0,7.661,1
HD 30177,0,7.735,9
HD 30177,0,7.735,9
HD 564,0,7.751,1
HD 23127,0,7.985,3
AB Pic,0,8.265,12
HD 2039,0,8.431000000000001,2
HD 27894,0,8.508,7
HD 27894,0,8.508,7
HD 27894,0,8.508,7
WD 0806-661,0,13.707,8
