pl_hostname,is_transiting,Tmag,total_sectors_obsd
HIP 41378,1,8.439,1
HIP 41378,1,8.439,1
HIP 41378,1,8.439,1
HIP 41378,1,8.439,1
HIP 41378,1,8.439,1
KELT-19 A,1,9.643,1
WASP-62,1,9.716,10
HAT-P-30,1,9.911,1
WASP-84,1,10.008,1
WASP-121,1,10.038,2
WASP-100,1,10.307,12
WASP-63,1,10.417,2
WASP-126,1,10.555,10
KELT-15,1,10.667,3
K2-182,1,11.173,1
WASP-65,1,11.244000000000002,1
HAT-P-50,1,11.274,1
WASP-119,1,11.547,6
K2-97,1,11.552,1
K2-98,1,11.61,1
WASP-23,1,11.682,1
K2-180,1,11.812,1
HATS-51,1,11.817,2
HAT-P-35,1,11.845,1
WASP-64,1,11.988,2
K2-115,1,12.686,1
HAT-P-43,1,12.712,1
K2-117,1,12.715,1
K2-117,1,12.715,1
K2-114,1,13.598,1
bet Cnc,0,2.349,1
HD 66141,0,3.237,1
HD 60532,0,4.129,1
HD 60532,0,4.129,1
HD 47536,0,4.274,2
HR 2562,0,5.565,11
HD 69830,0,5.617000000000001,1
HD 69830,0,5.617000000000001,1
HD 69830,0,5.617000000000001,1
HD 38283,0,6.145,12
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 50499,0,6.655,2
HD 72659,0,6.8870000000000005,1
HD 74156,0,7.097,1
HD 74156,0,7.097,1
HD 25171,0,7.252000000000002,7
GJ 273,0,7.308,1
GJ 273,0,7.308,1
HD 65216,0,7.331,9
HD 65216,0,7.331,9
HD 63765,0,7.397,3
HD 48265,0,7.412000000000001,3
HD 66428,0,7.625,1
HD 41004 A,0,7.768,3
HD 41004 B,0,7.768,3
HD 70573,0,8.1,1
HD 72892,0,8.175,1
AB Pic,0,8.265,12
HD 63454,0,8.3876,5
BD-13 2130,0,8.897,1
