
**************************************************
All Kharchenko+ 2013 clusters in sector 8:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_2516        373.0        8.475        698.0                   6
       ESO_123-26        816.0        8.530         92.0                   5
         NGC_1520       1023.0        9.430         10.0                   5
         FSR_1440       1631.0        8.760         91.0                   4
         FSR_1479       4055.0        9.200         40.0                   4
         NGC_2609       1481.0        8.480         24.0                   3
          ASCC_51        496.0        8.540        157.0                   3
         FSR_1446       2434.0        9.100         49.0                   3
         FSR_1447       2549.0        9.100         39.0                   3
       ESO_092-18       9548.0        9.150         35.0                   3
 vdBergh-Hagen_58       2398.0        9.170         26.0                   3
         FSR_1541       3575.0        9.400         56.0                   3
         NGC_2808       9612.0       10.100        215.0                   3
         FSR_1435       1296.0        6.000         61.0                   2
        Pismis_11       4767.0        6.000         38.0                   2
          DBSB_43       1940.0        6.000         41.0                   2
           Hogg_7       4583.0        6.000         29.0                   2
             DC_5       4430.0        6.050         88.0                   2
         NGC_3324       2361.0        6.100         19.0                   2
         FSR_1527       3258.0        6.200         51.0                   2
        Loden_153       3015.0        6.300         42.0                   2
      Ruprecht_83       6020.0        6.400        194.0                   2
         Muzzio_1       1394.0        6.500        111.0                   2
         Loden_27       2628.0        6.600        100.0                   2
         FSR_1531       2710.0        6.600         57.0                   2
     Westerlund_2       4469.0        6.600         51.0                   2
         NGC_3293       2441.0        6.750        128.0                   2
          DBSB_35       1678.0        6.800         35.0                   2
       Schuster_1       1863.0        6.800         37.0                   2
      Ruprecht_90       2682.0        6.800        114.0                   2
        Loden_112       2430.0        6.960        141.0                   2
          DBSB_51       3189.0        7.000         38.0                   2
    Collinder_205       1458.0        7.030        131.0                   2
        Pismis_16       1949.0        7.100         55.0                   2
          ASCC_58        564.0        7.200        149.0                   2
      Ruprecht_79       1991.0        7.265        192.0                   2
          IC_2395        701.0        7.270        159.0                   2
 vdBergh-Hagen_56        737.0        7.300         48.0                   2
 vdBergh-Hagen_87       1671.0        7.300        167.0                   2
          DBSB_46       2565.0        7.300         34.0                   2
          IC_2581       2221.0        7.320        282.0                   2
         NGC_2659       1713.0        7.360        159.0                   2
         NGC_3105      10301.0        7.400         51.0                   2
         Loden_28       3973.0        7.405         17.0                   2
         Pismis_8       1363.0        7.430        122.0                   2
         Bochum_7       6059.0        7.500         39.0                   2
 vdBergh-Hagen_54       1239.0        7.500        138.0                   2
          DBSB_36        748.0        7.500         18.0                   2
         Basel_20       1380.0        7.500        171.0                   2
          DBSB_50       1634.0        7.500         52.0                   2
         FSR_1474       1079.0        7.525         44.0                   2
         Pismis_6       1668.0        7.580        276.0                   2
         FSR_1518       1819.0        7.600         78.0                   2
          DBSB_47       1669.0        7.650         28.0                   2
          ASCC_61       1702.0        7.665        111.0                   2
 vdBergh-Hagen_84       1282.0        7.700         77.0                   2
          DBSB_45       3492.0        7.700         23.0                   2
        Platais_8        141.0        7.750       1377.0                   2
          ASCC_46        899.0        7.800        129.0                   2
         NGC_2547        361.0        7.890        174.0                   2
          ASCC_44        553.0        7.900        102.0                   2
         NGC_2866       2600.0        7.950         92.0                   2
      Ruprecht_77       4089.0        7.950         28.0                   2
          ASCC_52       2200.0        7.950        155.0                   2
          DBSB_40       1358.0        7.985         10.0                   2
          ASCC_53       1786.0        8.000        278.0                   2
         Loden_46       1184.0        8.000         69.0                   2
        Loden_172       1415.0        8.000        108.0                   2
 vdBergh-Hagen_99        517.0        8.000        204.0                   2
          DBSB_27       2479.0        8.010         27.0                   2
          IC_2391        165.0        8.050        139.0                   2
        Platais_9        200.0        8.090       2277.0                   2
         Bochum_9        940.0        8.090         96.0                   2
       ESO_260-06       1211.0        8.100         53.0                   2
         FSR_1432       1904.0        8.100         67.0                   2
          ASCC_60       1122.0        8.125        172.0                   2
         NGC_2670       1294.0        8.140         80.0                   2
          ASCC_42        792.0        8.150         98.0                   2
          DBSB_34       1736.0        8.150         16.0                   2
      Ruprecht_76       1332.0        8.150        136.0                   2
      Trumpler_11       3884.0        8.155         18.0                   2
         FSR_1429       3371.0        8.200         37.0                   2
           Hogg_2       1819.0        8.200         31.0                   2
    Collinder_223       1376.0        8.200         89.0                   2
          DBSB_48       6057.0        8.250         36.0                   2
        Loden_165       1330.0        8.250         75.0                   2
         FSR_1421       1268.0        8.300         17.0                   2
         FSR_1468       1005.0        8.300         79.0                   2
           Hogg_4       1772.0        8.300         60.0                   2
         NGC_3114        944.0        8.300        496.0                   2
          Loden_1        786.0        8.300         69.0                   2
         Loden_89        626.0        8.300        110.0                   2
         Loden_59        570.0        8.300         32.0                   2
 vdBergh-Hagen_91        749.0        8.350         79.0                   2
      Ruprecht_82       2228.0        8.370         76.0                   2
         DBSB_125       2817.0        8.380         42.0                   2
         FSR_1424       1829.0        8.400         73.0                   2
         FSR_1450       1379.0        8.400        131.0                   2
        Pismis_10       8835.0        8.400         46.0                   2
 vdBergh-Hagen_79      10270.0        8.400        235.0                   2
         NGC_3228        573.0        8.420         53.0                   2
       ESO_435-09       2255.0        8.425         48.0                   2
          ASCC_55        970.0        8.450        504.0                   2
     Ruprecht_161        976.0        8.450        149.0                   2
        Loden_143        619.0        8.450        202.0                   2
          ASCC_59        509.0        8.460        219.0                   2
 vdBergh-Hagen_90       1928.0        8.465        107.0                   2
         Turner_5        400.0        8.490        401.0                   2
         FSR_1464       2220.0        8.495         89.0                   2
         FSR_1430       6737.0        8.500         84.0                   2
         FSR_1451       1470.0        8.500         49.0                   2
           Hogg_6       1412.0        8.505         54.0                   2
         FSR_1417       2210.0        8.510         39.0                   2
      Ruprecht_84       1546.0        8.560        171.0                   2
         NGC_3330       1250.0        8.565        132.0                   2
    Collinder_220       1465.0        8.570        175.0                   2
         FSR_1500       1380.0        8.580         46.0                   2
      Ruprecht_60       5739.0        8.600         43.0                   2
 vdBergh-Hagen_78       9763.0        8.600         39.0                   2
         FSR_1478       1976.0        8.610         87.0                   2
       ESO_261-03       1063.0        8.615        191.0                   2
         NGC_3033       1020.0        8.620        107.0                   2
          ASCC_56        797.0        8.635        317.0                   2
       ESO_314-14       1870.0        8.650         46.0                   2
       ESO_211-09       2153.0        8.700         53.0                   2
      Ruprecht_85       1286.0        8.700         90.0                   2
         FSR_1521       1499.0        8.705        170.0                   2
         FSR_1441       1659.0        8.730         93.0                   2
         FSR_1524       2541.0        8.750        100.0                   2
       ESO_211-01       3413.0        8.760         74.0                   2
         FSR_1443       1864.0        8.770        193.0                   2
 vdBergh-Hagen_63       4131.0        8.775         66.0                   2
         FSR_1507       1445.0        8.800         80.0                   2
      Ruprecht_86       7173.0        8.800         55.0                   2
         FSR_1530       4153.0        8.800         40.0                   2
         FSR_1517       6643.0        8.810         92.0                   2
         FSR_1471       1966.0        8.820        112.0                   2
      Trumpler_13       2070.0        8.825        108.0                   2
           SAI_91       3330.0        8.830         55.0                   2
         FSR_1460       1285.0        8.835        253.0                   2
      Ruprecht_71       1300.0        8.840        192.0                   2
         FSR_1418       1249.0        8.850        154.0                   2
 vdBergh-Hagen_75       5984.0        8.850        133.0                   2
         FSR_1509       2209.0        8.850        105.0                   2
          ASCC_54       1751.0        8.865        227.0                   2
         FSR_1535       1602.0        8.865         90.0                   2
 vdBergh-Hagen_66       5664.0        8.870         45.0                   2
      Ruprecht_73       1621.0        8.880         43.0                   2
         FSR_1485       1187.0        8.880        107.0                   2
      Ruprecht_63       4829.0        8.900         69.0                   2
         FSR_1454       2187.0        8.900         56.0                   2
      Ruprecht_74       3074.0        8.900         22.0                   2
           Hogg_8       4078.0        8.900         45.0                   2
 vdBergh-Hagen_92       1282.0        8.910        178.0                   2
         FSR_1513       1685.0        8.920        231.0                   2
         FSR_1413       2255.0        8.950         13.0                   2
          SAI_113       2025.0        8.960         78.0                   2
       Teutsch_48       6501.0        8.975         67.0                   2
      Teutsch_103       2663.0        8.975         80.0                   2
      Ruprecht_89        750.0        8.980         89.0                   2
      Ruprecht_87       5254.0        8.985         32.0                   2
       ESO_260-17       1808.0        8.990         80.0                   2
      Ruprecht_69       2010.0        9.000         65.0                   2
       ESO_261-07       3360.0        9.000         70.0                   2
         FSR_1434       1367.0        9.035        298.0                   2
       ESO_211-03       4269.0        9.035        160.0                   2
         FSR_1452       2070.0        9.050         72.0                   2
         NGC_3255       3162.0        9.050         52.0                   2
         FSR_1431       2343.0        9.080         91.0                   2
       Waterloo_6       2256.0        9.085         16.0                   2
           SAI_94       3886.0        9.090         47.0                   2
         NGC_2849       4800.0        9.095         32.0                   2
         NGC_2660       2817.0        9.100         65.0                   2
 vdBergh-Hagen_88       5823.0        9.100        134.0                   2
         FSR_1536       4569.0        9.100         78.0                   2
        Carraro_1       1789.0        9.100         29.0                   2
         NGC_3446       2001.0        9.105        138.0                   2
         FSR_1416       1649.0        9.130         89.0                   2
       Teutsch_44       5877.0        9.150         84.0                   2
         FSR_1442       1186.0        9.190         55.0                   2
     Ruprecht_159       6347.0        9.200         93.0                   2
        Pismis_12       2221.0        9.205        103.0                   2
      Trumpler_12       1435.0        9.205        103.0                   2
         FSR_1415       3473.0        9.250         48.0                   2
vdBergh-Hagen_106       3137.0        9.265         68.0                   2
       ESO_092-05       5168.0        9.300         38.0                   2
         Saurer_3       7075.0        9.300         57.0                   2
       ESO_168-04       3084.0        9.315         72.0                   2
       ESO_265-01       3162.0        9.350         41.0                   2
       ESO_260-07       1876.0        9.375         91.0                   2
         FSR_1543       2662.0        9.400         76.0                   2
         FSR_1498       4936.0        6.000         64.0                   1
         NGC_2910       1882.0        7.200        168.0                   1
      Ruprecht_78       1706.0        7.250        115.0                   1
         NGC_2925        774.0        7.805        270.0                   1
       Teutsch_66       4635.0        8.190         50.0                   1
       ESO_166-04        978.0        8.260         90.0                   1
        Pismis_14       1775.0        8.355        114.0                   1
      Ruprecht_80       2183.0        8.425         54.0                   1
          IC_2488       1138.0        8.445        372.0                   1
         Alessi_4       2340.0        8.550         36.0                   1
         FSR_1484       1847.0        8.645        130.0                   1
 vdBergh-Hagen_72       2032.0        8.700         78.0                   1
       ESO_435-48       1819.0        8.700         24.0                   1
          SAI_108       3010.0        8.755         99.0                   1
 vdBergh-Hagen_85       2795.0        8.800         62.0                   1
 vdBergh-Hagen_67       6501.0        8.835        226.0                   1
         NGC_2932       2919.0        8.850         95.0                   1
    Collinder_213       1464.0        8.870        193.0                   1
 vdBergh-Hagen_73       2269.0        8.900        120.0                   1
      Ruprecht_81       3009.0        8.980         57.0                   1
      Ruprecht_88       1876.0        8.980         80.0                   1
         NGC_3036       1268.0        8.990         74.0                   1
          SAI_109       5246.0        9.000         50.0                   1
         FSR_1467       1606.0        9.000         85.0                   1
         FSR_1491       2234.0        9.005         62.0                   1
       ESO_435-33       1182.0        9.050         10.0                   1
      Ruprecht_75       4405.0        9.090         34.0                   1
        Pismis_15       2558.0        9.095        155.0                   1
         FSR_1449       2154.0        9.095         32.0                   1
       ESO_436-02       1370.0        9.100         30.0                   1
         FSR_1481       4104.0        9.120         97.0                   1
         FSR_1475       2662.0        9.150        136.0                   1
       ESO_502-19       1338.0        9.210         20.0                   1
       ESO_435-17       3603.0        9.285         14.0                   1
         FSR_1465       1703.0        9.310         50.0                   1
         FSR_1496       2290.0        9.350         56.0                   1
         FSR_1459       1759.0        9.350         40.0                   1
         FSR_1511       2473.0        9.415         65.0                   1
       ESO_570-12       1268.0        9.700         20.0                   1
         NGC_3201       4904.0       10.100        131.0                   1

100 most-observed Kharchenko+ 2013 clusters in South:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_2132       1003.0        9.045         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_2516        373.0        8.475        698.0                   6
       ESO_123-26        816.0        8.530         92.0                   5
         NGC_1520       1023.0        9.430         10.0                   5
         FSR_1440       1631.0        8.760         91.0                   4
         FSR_1479       4055.0        9.200         40.0                   4
        Mamajek_1        112.0        6.990         19.0                   3
