pl_hostname,is_transiting,Tmag,total_sectors_obsd
WASP-77 A,1,9.502,1
WASP-79,1,9.675,2
WASP-62,1,9.716,10
WASP-71,1,10.141,1
WASP-140,1,10.261,2
WASP-100,1,10.307,12
WASP-72,1,10.452,2
WASP-120,1,10.550999999999998,2
WASP-126,1,10.555,10
WASP-156,1,10.661,1
WASP-50,1,11.008,1
WASP-22,1,11.164,1
WASP-138,1,11.263,1
WASP-119,1,11.547,6
WASP-139,1,11.664,2
WASP-98,1,12.315,1
eps Eri,0,3.215,1
HD 27442,0,3.334,6
HD 20794,0,3.643,2
HD 20794,0,3.643,2
HD 20794,0,3.643,2
HD 20794,0,3.643,2
bet Pic,0,3.82,3
75 Cet,0,4.718,1
81 Cet,0,4.801,1
HD 39091,0,5.097,5
HR 2562,0,5.565,11
HD 38283,0,6.145,12
HD 16141,0,6.221,1
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 23079,0,6.551,2
HD 20782,0,6.763,1
HD 18742,0,6.931,1
HD 28254,0,7.025,3
Kapteyn,0,7.121,3
HD 25171,0,7.252000000000002,7
HD 65216,0,7.331,9
HD 65216,0,7.331,9
HD 12484,0,7.605,1
HD 27631,0,7.608,2
HD 30177,0,7.735,9
HD 30177,0,7.735,9
HD 23127,0,7.985,3
AB Pic,0,8.265,12
HD 27894,0,8.508,7
HD 27894,0,8.508,7
HD 27894,0,8.508,7
HIP 12961,0,8.67496,1
HD 20868,0,8.93881,1
GJ 163,0,9.467,3
GJ 163,0,9.467,3
GJ 163,0,9.467,3
RR Cae,0,12.53,3
WD 0806-661,0,13.707,8
UZ For,0,16.311,1
UZ For,0,16.311,1
