
**************************************************
All Kharchenko+ 2013 clusters in sector 9:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_2132       1003.0        9.045         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_2516        373.0        8.475        698.0                   6
       ESO_123-26        816.0        8.530         92.0                   5
         FSR_1479       4055.0        9.200         40.0                   4
        Mamajek_1        112.0        6.990         19.0                   3
         NGC_2609       1481.0        8.480         24.0                   3
          ASCC_51        496.0        8.540        157.0                   3
       ESO_092-18       9548.0        9.150         35.0                   3
 vdBergh-Hagen_58       2398.0        9.170         26.0                   3
         FSR_1541       3575.0        9.400         56.0                   3
         FSR_1579       1000.0        9.500         65.0                   3
         FSR_1577       1561.0        9.600         81.0                   3
              E_3       8104.0        9.900         25.0                   3
         NGC_2808       9612.0       10.100        215.0                   3
          DBSB_43       1940.0        6.000         41.0                   2
           Hogg_7       4583.0        6.000         29.0                   2
          DBSB_75       4564.0        6.000         54.0                   2
         DBSB_129       6976.0        6.000         38.0                   2
          DBSB_78       4569.0        6.000         25.0                   2
             DC_5       4430.0        6.050         88.0                   2
         NGC_3324       2361.0        6.100         19.0                   2
          DBSB_72       4494.0        6.100         37.0                   2
         FSR_1527       3258.0        6.200         51.0                   2
          IC_2944       2098.0        6.250         88.0                   2
        Loden_153       3015.0        6.300         42.0                   2
          DBSB_77       5417.0        6.300         30.0                   2
         FSR_1595       4416.0        6.350        196.0                   2
      Ruprecht_83       6020.0        6.400        194.0                   2
          DBSB_73       4532.0        6.500         26.0                   2
         Loden_27       2628.0        6.600        100.0                   2
         FSR_1531       2710.0        6.600         57.0                   2
     Westerlund_2       4469.0        6.600         51.0                   2
          DBSB_69       2273.0        6.600         25.0                   2
          IC_2948       2796.0        6.600        130.0                   2
        Loden_467       2569.0        6.600         68.0                   2
vdBergh-Hagen_121       2937.0        6.640        143.0                   2
         NGC_3293       2441.0        6.750        128.0                   2
          DBSB_60       3740.0        6.750         32.0                   2
       Schuster_1       1863.0        6.800         37.0                   2
      Ruprecht_90       2682.0        6.800        114.0                   2
         Stock_14       2454.0        6.800        199.0                   2
          ASCC_70       2652.0        6.920        460.0                   2
        Loden_112       2430.0        6.960        141.0                   2
          DBSB_51       3189.0        7.000         38.0                   2
      Ruprecht_94       2932.0        7.000        360.0                   2
        Pismis_16       1949.0        7.100         55.0                   2
          ASCC_58        564.0        7.200        149.0                   2
      Ruprecht_79       1991.0        7.265        192.0                   2
 vdBergh-Hagen_87       1671.0        7.300        167.0                   2
          DBSB_46       2565.0        7.300         34.0                   2
       ESO_130-06       1198.0        7.300        199.0                   2
          IC_2581       2221.0        7.320        282.0                   2
         Graham_1       2577.0        7.375         62.0                   2
         NGC_3105      10301.0        7.400         51.0                   2
         Lynga_15       1380.0        7.400         97.0                   2
         Loden_28       3973.0        7.405         17.0                   2
         Basel_20       1380.0        7.500        171.0                   2
          DBSB_50       1634.0        7.500         52.0                   2
     Ruprecht_102       1609.0        7.500        252.0                   2
         FSR_1518       1819.0        7.600         78.0                   2
        Loden_624       1423.0        7.600        999.0                   2
          DBSB_47       1669.0        7.650         28.0                   2
          ASCC_61       1702.0        7.665        111.0                   2
          ASCC_67       1500.0        7.670        335.0                   2
 vdBergh-Hagen_84       1282.0        7.700         77.0                   2
          DBSB_45       3492.0        7.700         23.0                   2
          DBSB_70       1274.0        7.700         42.0                   2
       Teutsch_77       1920.0        7.700         42.0                   2
         NGC_4439       1659.0        7.710        115.0                   2
        Platais_8        141.0        7.750       1377.0                   2
          ASCC_69        774.0        7.910        239.0                   2
      Ruprecht_77       4089.0        7.950         28.0                   2
          ASCC_52       2200.0        7.950        155.0                   2
         NGC_3766       1685.0        7.950        366.0                   2
         NGC_4463       1115.0        7.970        133.0                   2
          DBSB_40       1358.0        7.985         10.0                   2
          ASCC_53       1786.0        8.000        278.0                   2
         Loden_46       1184.0        8.000         69.0                   2
        Loden_172       1415.0        8.000        108.0                   2
 vdBergh-Hagen_99        517.0        8.000        204.0                   2
          ASCC_71       1209.0        8.000        228.0                   2
         FSR_1621       1015.0        8.000         92.0                   2
         Bochum_9        940.0        8.090         96.0                   2
      Melotte_101       1999.0        8.100        248.0                   2
          Hogg_14       1036.0        8.100         55.0                   2
          ASCC_60       1122.0        8.125        172.0                   2
      Trumpler_11       3884.0        8.155         18.0                   2
           Hogg_2       1819.0        8.200         31.0                   2
    Collinder_223       1376.0        8.200         89.0                   2
          ASCC_72       1229.0        8.205        140.0                   2
          DBSB_48       6057.0        8.250         36.0                   2
        Loden_165       1330.0        8.250         75.0                   2
           Hogg_4       1772.0        8.300         60.0                   2
         NGC_3114        944.0        8.300        496.0                   2
          Loden_1        786.0        8.300         69.0                   2
         Loden_89        626.0        8.300        110.0                   2
         Loden_59        570.0        8.300         32.0                   2
         FSR_1616       1963.0        8.300        142.0                   2
          Hogg_23       1250.0        8.310         85.0                   2
          IC_2602        151.0        8.345       3229.0                   2
 vdBergh-Hagen_91        749.0        8.350         79.0                   2
vdBergh-Hagen_111       2634.0        8.350         78.0                   2
    Collinder_258       1278.0        8.350        318.0                   2
      Ruprecht_82       2228.0        8.370         76.0                   2
      Melotte_105       2202.0        8.375        178.0                   2
      Ruprecht_99        719.0        8.375        120.0                   2
        Loden_565        703.0        8.375         96.0                   2
         DBSB_125       2817.0        8.380         42.0                   2
        Loden_481       1634.0        8.385        380.0                   2
 vdBergh-Hagen_79      10270.0        8.400        235.0                   2
         NGC_4052       1210.0        8.400        197.0                   2
         NGC_4349       2155.0        8.410        390.0                   2
         NGC_3228        573.0        8.420         53.0                   2
       ESO_130-13       1509.0        8.445        295.0                   2
          ASCC_55        970.0        8.450        504.0                   2
     Ruprecht_161        976.0        8.450        149.0                   2
        Loden_143        619.0        8.450        202.0                   2
          ASCC_59        509.0        8.460        219.0                   2
 vdBergh-Hagen_90       1928.0        8.465        107.0                   2
        Loden_682        731.0        8.470         99.0                   2
      Ruprecht_95       1634.0        8.495         42.0                   2
           Hogg_6       1412.0        8.505         54.0                   2
          DBSB_68       1777.0        8.525         29.0                   2
         NGC_3330       1250.0        8.565        132.0                   2
    Collinder_220       1465.0        8.570        175.0                   2
         FSR_1500       1380.0        8.580         46.0                   2
 vdBergh-Hagen_78       9763.0        8.600         39.0                   2
       ESO_129-32       1560.0        8.600         57.0                   2
          ASCC_68        920.0        8.600        537.0                   2
     Ruprecht_100       2589.0        8.600        111.0                   2
         FSR_1622       6017.0        8.600        110.0                   2
         NGC_3033       1020.0        8.620        107.0                   2
        Loden_615        826.0        8.630        150.0                   2
          IC_2714       1224.0        8.650        494.0                   2
      Ruprecht_97       1537.0        8.650         47.0                   2
          SAI_116       2382.0        8.685         70.0                   2
      Ruprecht_85       1286.0        8.700         90.0                   2
         FSR_1586       2863.0        8.700        140.0                   2
         FSR_1591       1538.0        8.700         78.0                   2
         FSR_1521       1499.0        8.705        170.0                   2
         FSR_1524       2541.0        8.750        100.0                   2
         FSR_1507       1445.0        8.800         80.0                   2
      Ruprecht_86       7173.0        8.800         55.0                   2
         FSR_1530       4153.0        8.800         40.0                   2
      Ruprecht_98        610.0        8.800        131.0                   2
         FSR_1517       6643.0        8.810         92.0                   2
      Trumpler_13       2070.0        8.825        108.0                   2
 vdBergh-Hagen_75       5984.0        8.850        133.0                   2
         FSR_1509       2209.0        8.850        105.0                   2
          ASCC_54       1751.0        8.865        227.0                   2
         FSR_1535       1602.0        8.865         90.0                   2
 vdBergh-Hagen_66       5664.0        8.870         45.0                   2
     Ruprecht_101       2856.0        8.870        231.0                   2
         FSR_1584       2241.0        8.875         68.0                   2
         FSR_1625       2269.0        8.875        131.0                   2
           Bica_5       1687.0        8.880         91.0                   2
     Ruprecht_104       2702.0        8.890         81.0                   2
           Hogg_8       4078.0        8.900         45.0                   2
       ESO_131-09       2255.0        8.900        108.0                   2
 vdBergh-Hagen_92       1282.0        8.910        178.0                   2
       ESO_165-09        656.0        8.915         55.0                   2
         FSR_1513       1685.0        8.920        231.0                   2
          SAI_113       2025.0        8.960         78.0                   2
      Ruprecht_89        750.0        8.980         89.0                   2
      Ruprecht_87       5254.0        8.985         32.0                   2
       Juchert_13       2795.0        9.000         51.0                   2
       ESO_130-08        800.0        9.010        231.0                   2
         FSR_1554       1513.0        9.050         64.0                   2
         NGC_3255       3162.0        9.050         52.0                   2
      Ruprecht_96       1251.0        9.060         98.0                   2
       ESO_062-11       2695.0        9.080         97.0                   2
 vdBergh-Hagen_88       5823.0        9.100        134.0                   2
         FSR_1536       4569.0        9.100         78.0                   2
        Carraro_1       1789.0        9.100         29.0                   2
     Ruprecht_105       1250.0        9.100        312.0                   2
         NGC_3446       2001.0        9.105        138.0                   2
     Ruprecht_103       1298.0        9.110         79.0                   2
     Ruprecht_165       2082.0        9.115         35.0                   2
         FSR_1585       4465.0        9.145        122.0                   2
       Teutsch_44       5877.0        9.150         84.0                   2
         NGC_4337       2874.0        9.150         97.0                   2
         Saurer_4       5179.0        9.180         16.0                   2
         FSR_1620       2304.0        9.185         65.0                   2
     Ruprecht_159       6347.0        9.200         93.0                   2
         FSR_1608       7354.0        9.200        129.0                   2
vdBergh-Hagen_131       4430.0        9.200         71.0                   2
      Trumpler_12       1435.0        9.205        103.0                   2
vdBergh-Hagen_106       3137.0        9.265         68.0                   2
         Saurer_3       7075.0        9.300         57.0                   2
         FSR_1597       2879.0        9.300         70.0                   2
       ESO_168-04       3084.0        9.315         72.0                   2
      Trumpler_20       3311.0        9.325        482.0                   2
         FSR_1572       3494.0        9.350         56.0                   2
       ESO_265-01       3162.0        9.350         41.0                   2
     Ruprecht_163       3019.0        9.365         60.0                   2
         FSR_1543       2662.0        9.400         76.0                   2
         FSR_1566       1537.0        9.430         72.0                   2
       ESO_062-08       1983.0        9.440         27.0                   2
         FSR_1593       1825.0        9.455        120.0                   2
         FSR_1605       4430.0        9.500         97.0                   2
       ESO_093-08      13797.0        9.800         32.0                   2
      Trumpler_14       2248.0        6.000         19.0                   1
        Bochum_11       2261.0        6.000         20.0                   1
    Kronberger_39       4372.0        6.000          7.0                   1
        Shorlin_2       4129.0        6.000         11.0                   1
         NGC_3603       7158.0        6.000         29.0                   1
          DBSB_66       7511.0        6.000         47.0                   1
          DBSB_64       5254.0        6.200        101.0                   1
      Trumpler_16       2671.0        6.500         14.0                   1
        Shorlin_1       5594.0        6.500         38.0                   1
     Teutsch_143a       4231.0        6.600         93.0                   1
    Collinder_228       2358.0        6.680        111.0                   1
           Sher_1       5801.0        6.715         10.0                   1
        Loden_306       1939.0        6.760         86.0                   1
          Hogg_10       1920.0        6.785         62.0                   1
          ASCC_65       1934.0        6.850        184.0                   1
          DBSB_62       2187.0        6.900         45.0                   1
         NGC_3572       1997.0        6.925         66.0                   1
        Bochum_10       2017.0        6.930        118.0                   1
          Hogg_11       2554.0        6.990         41.0                   1
      Trumpler_15       2120.0        7.080         71.0                   1
      Feinstein_1       1414.0        7.200         90.0                   1
         Stock_13       1577.0        7.370         76.0                   1
        Pismis_17       2255.0        7.400        135.0                   1
         NGC_3590       1660.0        7.400        247.0                   1
          Hogg_12       1664.0        7.600         69.0                   1
      Ruprecht_92       2211.0        7.650         58.0                   1
      Trumpler_18       1422.0        7.690        215.0                   1
     Ruprecht_164       1297.0        7.700         70.0                   1
         NGC_4103       1659.0        7.755        421.0                   1
          ASCC_66       1032.0        7.760        175.0                   1
      Trumpler_17       2194.0        7.775         76.0                   1
          DBSB_55       5308.0        7.825         25.0                   1
           Hogg_9       1751.0        7.900         21.0                   1
         Basel_17       1697.0        7.975         70.0                   1
        Loden_189        819.0        7.990        222.0                   1
        Bochum_12       2485.0        7.995         50.0                   1
vdBergh-Hagen_110       1879.0        8.000         23.0                   1
        Loden_309        765.0        8.050         24.0                   1
          DBSB_53       3438.0        8.100         35.0                   1
          ASCC_64       1700.0        8.100        163.0                   1
     Ruprecht_162       3019.0        8.385         34.0                   1
        Loden_402       1513.0        8.400         98.0                   1
      Ruprecht_91       1095.0        8.405         61.0                   1
    Collinder_236        823.0        8.450         66.0                   1
vdBergh-Hagen_132       1859.0        8.450        236.0                   1
         FSR_1583       1639.0        8.600         66.0                   1
