pl_hostname,is_transiting,Tmag,total_sectors_obsd
WASP-82,1,9.514,1
WASP-79,1,9.675,2
WASP-140,1,10.261,2
WASP-100,1,10.307,12
WASP-35,1,10.41,1
WASP-120,1,10.550999999999998,2
K2-77,1,11.2,1
WASP-61,1,11.668,1
K2-80,1,11.669,1
K2-80,1,11.669,1
K2-80,1,11.669,1
WASP-78,1,11.765,1
HATS-5,1,11.852,1
WASP-141,1,12.02,1
HATS-43,1,12.775,2
NGTS-1,1,13.862,2
HD 27442,0,3.334,6
bet Pic,0,3.82,3
51 Eri,0,5.024,1
HD 30562,0,5.131,1
HR 2562,0,5.565,11
HD 38283,0,6.145,12
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 33844,0,6.3610000000000015,1
HD 33844,0,6.3610000000000015,1
HD 31253,0,6.577000000000001,1
HD 30856,0,7.025,1
HD 28254,0,7.025,3
HD 33142,0,7.095,1
Kapteyn,0,7.121,3
HD 28185,0,7.1560000000000015,1
HD 28678,0,7.326,1
HD 65216,0,7.331,9
HD 65216,0,7.331,9
HD 33283,0,7.49,1
HD 27631,0,7.608,2
HD 30177,0,7.735,9
HD 30177,0,7.735,9
HD 41004 A,0,7.768,3
HD 41004 B,0,7.768,3
AB Pic,0,8.265,12
HD 30669,0,8.38,1
HD 27894,0,8.508,7
HD 27894,0,8.508,7
HD 27894,0,8.508,7
GJ 179,0,9.374,1
GJ 3323,0,9.453,1
GJ 3323,0,9.453,1
GJ 3323,0,9.466,1
GJ 3323,0,9.466,1
GJ 163,0,9.467,3
GJ 163,0,9.467,3
GJ 163,0,9.467,3
GJ 3341,0,9.916,1
GJ 3293,0,10.122,1
GJ 3293,0,10.122,1
GJ 3293,0,10.122,1
GJ 3293,0,10.122,1
RR Cae,0,12.53,3
WD 0806-661,0,13.707,8
