
**************************************************
All Kharchenko+ 2013 clusters in sector 10:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_2132       1003.0        9.045         52.0                  10
        Mamajek_1        112.0        6.990         19.0                   3
          ASCC_51        496.0        8.540        157.0                   3
       ESO_092-18       9548.0        9.150         35.0                   3
         FSR_1541       3575.0        9.400         56.0                   3
         FSR_1579       1000.0        9.500         65.0                   3
         FSR_1577       1561.0        9.600         81.0                   3
              E_3       8104.0        9.900         25.0                   3
         NGC_2808       9612.0       10.100        215.0                   3
          DBSB_75       4564.0        6.000         54.0                   2
         DBSB_129       6976.0        6.000         38.0                   2
          DBSB_78       4569.0        6.000         25.0                   2
          DBSB_72       4494.0        6.100         37.0                   2
          IC_2944       2098.0        6.250         88.0                   2
          DBSB_77       5417.0        6.300         30.0                   2
         FSR_1595       4416.0        6.350        196.0                   2
          DBSB_73       4532.0        6.500         26.0                   2
          DBSB_69       2273.0        6.600         25.0                   2
          IC_2948       2796.0        6.600        130.0                   2
        Loden_467       2569.0        6.600         68.0                   2
      Feigelson_1        117.0        6.600         26.0                   2
vdBergh-Hagen_121       2937.0        6.640        143.0                   2
          DBSB_60       3740.0        6.750         32.0                   2
         Stock_14       2454.0        6.800        199.0                   2
          ASCC_70       2652.0        6.920        460.0                   2
          ASCC_79        871.0        6.950        703.0                   2
      Ruprecht_94       2932.0        7.000        360.0                   2
vdBergh-Hagen_164        501.0        7.100        110.0                   2
       ESO_130-06       1198.0        7.300        199.0                   2
         Graham_1       2577.0        7.375         62.0                   2
         Lynga_15       1380.0        7.400         97.0                   2
     Ruprecht_102       1609.0        7.500        252.0                   2
        Loden_624       1423.0        7.600        999.0                   2
          ASCC_67       1500.0        7.670        335.0                   2
          DBSB_70       1274.0        7.700         42.0                   2
       Teutsch_77       1920.0        7.700         42.0                   2
         NGC_4439       1659.0        7.710        115.0                   2
          ASCC_69        774.0        7.910        239.0                   2
         NGC_3766       1685.0        7.950        366.0                   2
         NGC_4463       1115.0        7.970        133.0                   2
          ASCC_71       1209.0        8.000        228.0                   2
         FSR_1621       1015.0        8.000         92.0                   2
      Melotte_101       1999.0        8.100        248.0                   2
          Hogg_14       1036.0        8.100         55.0                   2
          ASCC_72       1229.0        8.205        140.0                   2
          DBSB_94       2422.0        8.220         36.0                   2
         FSR_1616       1963.0        8.300        142.0                   2
          Hogg_23       1250.0        8.310         85.0                   2
          IC_2602        151.0        8.345       3229.0                   2
vdBergh-Hagen_111       2634.0        8.350         78.0                   2
    Collinder_258       1278.0        8.350        318.0                   2
      Melotte_105       2202.0        8.375        178.0                   2
      Ruprecht_99        719.0        8.375        120.0                   2
        Loden_565        703.0        8.375         96.0                   2
          ASCC_80       1281.0        8.375        688.0                   2
        Loden_481       1634.0        8.385        380.0                   2
         NGC_4052       1210.0        8.400        197.0                   2
         FSR_1694       9537.0        8.400         60.0                   2
         NGC_4349       2155.0        8.410        390.0                   2
       ESO_130-13       1509.0        8.445        295.0                   2
        Loden_682        731.0        8.470         99.0                   2
      Ruprecht_95       1634.0        8.495         42.0                   2
       Loden_2159       6111.0        8.500        168.0                   2
       Loden_2158       6206.0        8.500        149.0                   2
          DBSB_68       1777.0        8.525         29.0                   2
         FSR_1703       1330.0        8.550         61.0                   2
      Ruprecht_84       1546.0        8.560        171.0                   2
         FSR_1698       1562.0        8.560         96.0                   2
       ESO_129-32       1560.0        8.600         57.0                   2
          ASCC_68        920.0        8.600        537.0                   2
     Ruprecht_100       2589.0        8.600        111.0                   2
         FSR_1622       6017.0        8.600        110.0                   2
        Loden_615        826.0        8.630        150.0                   2
          ASCC_56        797.0        8.635        317.0                   2
          IC_2714       1224.0        8.650        494.0                   2
      Ruprecht_97       1537.0        8.650         47.0                   2
          SAI_116       2382.0        8.685         70.0                   2
         FSR_1586       2863.0        8.700        140.0                   2
         FSR_1591       1538.0        8.700         78.0                   2
         NGC_5359       2221.0        8.750         59.0                   2
      Ruprecht_98        610.0        8.800        131.0                   2
     Ruprecht_101       2856.0        8.870        231.0                   2
         FSR_1584       2241.0        8.875         68.0                   2
         FSR_1625       2269.0        8.875        131.0                   2
           Bica_5       1687.0        8.880         91.0                   2
     Ruprecht_104       2702.0        8.890         81.0                   2
       ESO_131-09       2255.0        8.900        108.0                   2
       ESO_099-06       1274.0        8.900         57.0                   2
         FSR_1700       2357.0        8.905         70.0                   2
       Juchert_13       2795.0        9.000         51.0                   2
       ESO_130-08        800.0        9.010        231.0                   2
         FSR_1554       1513.0        9.050         64.0                   2
      Ruprecht_96       1251.0        9.060         98.0                   2
       ESO_062-11       2695.0        9.080         97.0                   2
     Ruprecht_105       1250.0        9.100        312.0                   2
     Ruprecht_103       1298.0        9.110         79.0                   2
         FSR_1693       3743.0        9.110         87.0                   2
     Ruprecht_165       2082.0        9.115         35.0                   2
         FSR_1585       4465.0        9.145        122.0                   2
         NGC_4337       2874.0        9.150         97.0                   2
         Saurer_4       5179.0        9.180         16.0                   2
         FSR_1620       2304.0        9.185         65.0                   2
         FSR_1608       7354.0        9.200        129.0                   2
vdBergh-Hagen_131       4430.0        9.200         71.0                   2
         FSR_1640       6213.0        9.200         78.0                   2
         FSR_1685       1513.0        9.250         50.0                   2
       ESO_092-05       5168.0        9.300         38.0                   2
         FSR_1597       2879.0        9.300         70.0                   2
         FSR_1639       7943.0        9.300         80.0                   2
      Trumpler_20       3311.0        9.325        482.0                   2
         FSR_1572       3494.0        9.350         56.0                   2
     Ruprecht_163       3019.0        9.365         60.0                   2
          ASCC_78       3241.0        9.380         88.0                   2
         FSR_1566       1537.0        9.430         72.0                   2
       ESO_062-08       1983.0        9.440         27.0                   2
         FSR_1593       1825.0        9.455        120.0                   2
         FSR_1647       2436.0        9.455         96.0                   2
         FSR_1605       4430.0        9.500         97.0                   2
         FSR_1631       1456.0        9.500        100.0                   2
         FSR_1642       3211.0        9.500         78.0                   2
       ESO_021-06       2473.0        9.500         89.0                   2
         FSR_1658       4239.0        9.550        136.0                   2
         FSR_1626       2671.0        9.600        109.0                   2
         FSR_1598       3575.0        9.700         58.0                   2
         FSR_1629       3597.0        9.700         78.0                   2
       ESO_093-08      13797.0        9.800         32.0                   2
          Danks_1       1873.0        6.000         20.0                   1
         DBSB_136       6581.0        6.000         93.0                   1
          DBSB_89       4069.0        6.000         32.0                   1
         DBSB_141       5240.0        6.000         52.0                   1
          Danks_2       2231.0        6.300         26.0                   1
         FSR_1630       2368.0        6.400        145.0                   1
  IRAS_15015-5720       3391.0        6.400         33.0                   1
          DBSB_83       3360.0        6.500         48.0                   1
         DBSB_131       3298.0        6.500         47.0                   1
       Loden_1101       2088.0        6.550        184.0                   1
          Hogg_15       3078.0        6.600         67.0                   1
vdBergh-Hagen_151       3572.0        6.600         57.0                   1
          ASCC_75       2948.0        6.650        181.0                   1
          ASCC_77       2041.0        6.750        536.0                   1
         Stock_16       1630.0        6.780        113.0                   1
          Cir_OB1       1783.0        6.800        644.0                   1
       Loden_2045       2056.0        6.800        232.0                   1
          DBSB_80       2132.0        6.900         32.0                   1
         NGC_5284       1577.0        7.000        146.0                   1
    Collinder_272       2095.0        7.020        359.0                   1
         NGC_4755       1971.0        7.300        110.0                   1
          SAI_118       1602.0        7.300        162.0                   1
         DBSB_140       1535.0        7.300         62.0                   1
        Loden_694       1527.0        7.380        303.0                   1
         NGC_5155       1404.0        7.400        108.0                   1
          DBSB_92       1963.0        7.400         87.0                   1
          DBSB_85       2024.0        7.450         33.0                   1
        Loden_821       2642.0        7.455        277.0                   1
         DBSB_139       1950.0        7.500         49.0                   1
        Pismis_20       1501.0        7.500         76.0                   1
         NGC_5138       1819.0        7.550         95.0                   1
          ASCC_76       1025.0        7.750        174.0                   1
       Teutsch_80       2352.0        7.750        249.0                   1
         NGC_5281       1211.0        7.760        371.0                   1
      Trumpler_21       1270.0        7.850        144.0                   1
          DBSB_88       1366.0        7.850         20.0                   1
       ESO_064-05       1239.0        7.885        110.0                   1
       Loden_1375       1819.0        7.900        103.0                   1
         Basel_18       2226.0        7.920         57.0                   1
          Hogg_16       2059.0        7.950         93.0                   1
       Loden_1373       3412.0        7.950         89.0                   1
          Hogg_18       1535.0        7.950        223.0                   1
         NGC_5045       1662.0        7.955        409.0                   1
         FSR_1645       1278.0        8.000        264.0                   1
          DBSB_87       1791.0        8.000         42.0                   1
       Loden_1002       1332.0        8.000         92.0                   1
         FSR_1669       1105.0        8.000        140.0                   1
       Loden_1409       2088.0        8.000        409.0                   1
         NGC_5749       1014.0        8.000        317.0                   1
         FSR_1697        912.0        8.060        128.0                   1
        Loden_757       1340.0        8.070         70.0                   1
       Loden_1339       1278.0        8.090         56.0                   1
         NGC_4609       1308.0        8.100        149.0                   1
         Alessi_8        715.0        8.105        200.0                   1
        Pismis_21       1174.0        8.110        133.0                   1
         FSR_1663       1513.0        8.150        121.0                   1
          Hogg_17       1148.0        8.150        151.0                   1
          ASCC_73        650.0        8.190        125.0                   1
          DBSB_93       2049.0        8.200         80.0                   1
         NGC_5316       1208.0        8.230        570.0                   1
     Ruprecht_107       1454.0        8.235         25.0                   1
         NGC_5168       1727.0        8.250         76.0                   1
       ESO_097-15       3274.0        8.250         61.0                   1
         NGC_5617       1769.0        8.250        175.0                   1
         NGC_5925       1555.0        8.250        143.0                   1
        Harvard_9       1478.0        8.250        153.0                   1
         NGC_5662        625.0        8.275        251.0                   1
       Loden_2313       1076.0        8.290        357.0                   1
        Loden_807        703.0        8.300        195.0                   1
    Collinder_277       2204.0        8.300         34.0                   1
         NGC_5460        652.0        8.300        272.0                   1
         FSR_1659       1764.0        8.315        186.0                   1
         Alessi_6        613.0        8.320        340.0                   1
         DBSB_133       2927.0        8.335        100.0                   1
         FSR_1648       1050.0        8.340        111.0                   1
       Platais_10        246.0        8.340        329.0                   1
         DBSB_135       2120.0        8.350         48.0                   1
          Lynga_1       1312.0        8.390        197.0                   1
          DBSB_79       1489.0        8.400         62.0                   1
       Platais_12        491.0        8.400        751.0                   1
         FSR_1701       1505.0        8.400         43.0                   1
          Lynga_2        932.0        8.430        413.0                   1
        Loden_915        709.0        8.445        265.0                   1
         FSR_1688       1469.0        8.455         73.0                   1
         NGC_5764       2681.0        8.475        208.0                   1
      Trumpler_22       1614.0        8.495        187.0                   1
         NGC_5269       1634.0        8.520        190.0                   1
    Collinder_269       1870.0        8.550        129.0                   1
          Lynga_4       1369.0        8.550        327.0                   1
       Loden_1256       1226.0        8.580        302.0                   1
         NGC_4815       2990.0        8.600         69.0                   1
         NGC_5043        860.0        8.600        158.0                   1
    Collinder_275       1952.0        8.600        110.0                   1
       Loden_1289       1753.0        8.600        161.0                   1
       ESO_175-06        586.0        8.600        126.0                   1
         FSR_1696       1148.0        8.610        116.0                   1
        Loden_995       1481.0        8.625        116.0                   1
          ASCC_74        550.0        8.630         77.0                   1
         NGC_4852       1106.0        8.635        187.0                   1
         NGC_5381       1949.0        8.650        354.0                   1
       Loden_1225       1330.0        8.670        439.0                   1
     Ruprecht_108        935.0        8.675        144.0                   1
         NGC_5299       1847.0        8.700        139.0                   1
     Ruprecht_110       1241.0        8.700        182.0                   1
       Loden_1194        673.0        8.705        137.0                   1
     Ruprecht_112       1764.0        8.740        195.0                   1
         NGC_5593        808.0        8.770        129.0                   1
       Teutsch_79       1461.0        8.780         49.0                   1
         FSR_1654       4015.0        8.780         35.0                   1
    Collinder_268       1811.0        8.790         64.0                   1
       Loden_1010        949.0        8.825        225.0                   1
       Loden_2326       1390.0        8.830        133.0                   1
       Loden_1378       1346.0        8.840        220.0                   1
         NGC_5822        794.0        8.840       1817.0                   1
         FSR_1653       3258.0        8.850         83.0                   1
         FSR_1617       1828.0        8.900        105.0                   1
         FSR_1623       6915.0        8.900        113.0                   1
         FSR_1668       1184.0        8.900        216.0                   1
       ESO_134-12       2088.0        8.900         98.0                   1
         FSR_1728       1031.0        8.900         65.0                   1
          Lynga_3       4164.0        8.915        154.0                   1
         FSR_1641       1934.0        8.950         48.0                   1
       ESO_065-03       3047.0        8.960         87.0                   1
         NGC_5823       1189.0        8.960        161.0                   1
       Loden_2115       1434.0        8.960        423.0                   1
         NGC_5715       1490.0        8.970        126.0                   1
        Pismis_18       2309.0        8.975        125.0                   1
