
**************************************************
All knownplanet from TIC7.1 in sector 2:

pl_hostname  is_transiting   PRIORITY    TESSMAG     RADIUS  total_sectors_obsd
                  HATS-3              1     0.000377     11.46400         1.40                   1
                WASP-141              1     0.000373     12.02000         1.37                   1
       CoRoTID 223977153              1     0.000366     13.08500         0.79                   1
                 WASP-78              1     0.000364     11.76500         1.60                   1
                HAT-P-50              1     0.000330     11.27400         1.70                   1
                 HATS-25              1     0.000318     12.39900         1.11                   1
                   K2-43              1     0.000317     13.72200         0.59                   1
                HAT-P-35              1     0.000301     11.84500         1.44                   1
                 HATS-13              1     0.000291     13.09600         0.89                   1
                HAT-P-43              1     0.000286     12.71200         1.10                   1
                 HATS-14              1     0.000252     13.18000         0.93                   1
                 CoRoT-1              1     0.000250     12.98900         1.11                   1
                WASP-142              1     0.000235     12.27600         1.64                   1
                 HATS-18              1     0.000233     13.33900         1.02                   1
                 CoRoT-4              1     0.000215     13.11800         1.17                   1
                  K2-114              1     0.000208     13.59800         0.83                   1
                 HATS-27              1     0.000206     12.28100         1.74                   1
                 HATS-16              1     0.000191     13.19900         1.24                   1
                 HATS-26              1     0.000170     12.37100         2.04                   1
                 CoRoT-5              1     0.000161     13.41800         1.19                   1
                 HATS-31              1     0.000150     12.46500         1.87                   1
                 HATS-32              1     0.000136     13.68400         1.10                   1
                CoRoT-19              1     0.000130     13.09800         1.65                   1
                  K2-132              1     0.000122     10.94700         3.85                   1
                CoRoT-24              1     0.000116     14.43500         0.86                   1
                CoRoT-18              1     0.000113     14.16500         1.00                   1
                CoRoT-13              1     0.000098     14.34700         1.01                   1
             OGLE2-TR-L9              1     0.000090     14.06700         1.53                   1
                   K2-97              1     0.000069     11.55200         4.20                   1
             OGLE-TR-211              1     0.000065     14.45600         1.64                   1
                CoRoT-12              1     0.000059     14.72500         1.12                   1
                  POTS-1              1     0.000050     16.28400         0.59                   1
             OGLE-TR-111              1     0.000046     15.57600         0.83                   1
                CoRoT-14              1     0.000039     15.11200         1.21                   1
              OGLE-TR-10              1     0.000036     14.72000         1.17                   1
             OGLE-TR-132              1     0.000024     15.90700         1.32                   1
             OGLE-TR-182              1     0.000017     16.08800         1.14                   1
              Lupus-TR-3              1     0.000008     17.42800         0.82                   1
                HD 38283              0     0.000000      6.14500          NaN                  12
                  AB Pic              0     0.000000      8.26500          NaN                  12
                HD 40307              0     0.000000      6.26600          NaN                  10
                HD 65216              0     0.000000      7.33100          NaN                   9
                HD 30177              0     0.000000      7.73500          NaN                   9
             WD 0806-661              0     0.000000     13.70700          NaN                   8
                HD 25171              0     0.016233      7.25200         1.18                   7
                HD 27894              0     0.000000      8.50800          NaN                   7
                HD 68402              0     0.012928      8.51400         1.02                   5
                HD 63454              0     0.012279      8.38760         1.05                   5
                HD 28254              0     0.006490      7.02500         1.48                   3
                HD 48265              0     0.003850      7.41200         2.05                   3
                HD 63765              0     0.000000      7.39700          NaN                   3
                HD 76700              0     0.000000      7.49900          NaN                   3
              HD 41004 A              0     0.000000      7.76800          NaN                   3
                HD 23127              0     0.000000      7.98500          NaN                   3
                 HD 7199              0     0.010042      7.30700         0.96                   2
                HD 27631              0     0.008700      7.60800         1.00                   2
