pl_hostname,is_transiting,Tmag,total_sectors_obsd
WASP-62,1,9.716,10
WASP-100,1,10.307,12
KELT-15,1,10.667,3
WASP-43,1,11.015999999999998,1
WASP-142,1,12.276,1
HATS-26,1,12.371,1
HD 27442,0,3.334,6
HD 39091,0,5.097,5
24 Sex,0,5.4670000000000005,1
24 Sex,0,5.4670000000000005,1
HR 2562,0,5.565,11
HD 75289,0,5.824,1
HD 82943,0,5.994,1
HD 82943,0,5.994,1
HD 38283,0,6.145,12
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 86950,0,6.5070000000000014,1
HD 70642,0,6.528,1
HD 86264,0,6.966,1
HD 25171,0,7.252000000000002,7
HD 65216,0,7.331,9
HD 65216,0,7.331,9
HD 73256,0,7.342,1
HD 86226,0,7.358,1
HD 63765,0,7.397,3
HD 48265,0,7.412000000000001,3
HD 83443,0,7.505,2
HD 30177,0,7.735,9
HD 30177,0,7.735,9
HD 77338,0,7.877000000000002,1
HD 73267,0,8.138,1
HD 86081,0,8.158999999999999,1
AB Pic,0,8.265,12
HD 73526,0,8.301,1
HD 73526,0,8.301,1
HD 27894,0,8.508,7
HD 27894,0,8.508,7
HD 27894,0,8.508,7
BD-08 2823,0,8.797889999999997,1
BD-08 2823,0,8.797889999999997,1
GJ 317,0,9.599,1
WD 0806-661,0,13.707,8
DENIS-P J082303.1-491201,0,15.297,1
