pl_hostname,is_transiting,Tmag,total_sectors_obsd
WASP-62,1,9.716,10
WASP-73,1,9.848,1
WASP-100,1,10.307,12
WASP-126,1,10.555,10
WASP-91,1,10.991,1
WASP-46,1,12.352,1
HIP 107773,0,4.7860000000000005,1
HD 39091,0,5.097,5
HR 2562,0,5.565,11
HD 216437,0,5.625,1
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 222076,0,6.537000000000001,1
HD 142022 A,0,7.005,1
HD 212301,0,7.25,1
HD 25171,0,7.252000000000002,7
HD 175167,0,7.331,1
HD 65216,0,7.331,9
HD 65216,0,7.331,9
AB Pic,0,8.265,12
HD 63454,0,8.3876,5
HD 68402,0,8.514,5
