
**************************************************
All knownplanet from Stephen Kane's list in sector 2:

pl_hostname  is_transiting       Tmag  total_sectors_obsd
                 HATS-24              1   12.21100                   1
                WASP-142              1   12.27600                   1
                 HATS-27              1   12.28100                   1
                 WASP-98              1   12.31500                   1
                  HATS-7              1   12.33700                   1
                 WASP-46              1   12.35200                   1
                 HATS-26              1   12.37100                   1
                 HATS-22              1   12.38900                   1
                 HATS-25              1   12.39900                   1
                 HATS-31              1   12.46500                   1
                  HATS-2              1   12.66900                   1
                  K2-115              1   12.68600                   1
                  HATS-4              1   12.69600                   1
                HAT-P-43              1   12.71200                   1
                  K2-117              1   12.71500                   1
                  K2-117              1   12.71500                   1
                  K2-248              1   12.73700                   1
                   K2-54              1   12.97400                   1
                 CoRoT-1              1   12.98900                   1
       CoRoTID 223977153              1   13.08500                   1
                 HATS-13              1   13.09600                   1
                CoRoT-19              1   13.09800                   1
                 CoRoT-4              1   13.11800                   1
                 HATS-14              1   13.18000                   1
                 HATS-16              1   13.19900                   1
                   K2-57              1   13.28200                   1
                 HATS-18              1   13.33900                   1
                 CoRoT-5              1   13.41800                   1
                  K2-114              1   13.59800                   1
                 HATS-32              1   13.68400                   1
                   K2-43              1   13.72200                   1
             OGLE2-TR-L9              1   14.06700                   1
                CoRoT-18              1   14.16500                   1
                CoRoT-13              1   14.34700                   1
                CoRoT-24              1   14.43500                   1
                CoRoT-24              1   14.43500                   1
             OGLE-TR-211              1   14.45600                   1
              OGLE-TR-10              1   14.72000                   1
                CoRoT-12              1   14.72500                   1
                CoRoT-14              1   15.11200                   1
             OGLE-TR-111              1   15.57600                   1
             OGLE-TR-132              1   15.90700                   1
             OGLE-TR-182              1   16.08800                   1
                  POTS-1              1   16.28400                   1
              Lupus-TR-3              1   17.42800                   1
                HD 38283              0    6.14500                  12
                  AB Pic              0    8.26500                  12
                 HR 2562              0    5.56500                  11
                HD 40307              0    6.26600                  10
                HD 40307              0    6.26600                  10
                HD 40307              0    6.26600                  10
                HD 40307              0    6.26600                  10
                HD 40307              0    6.26600                  10
                HD 65216              0    7.33100                   9
                HD 65216              0    7.33100                   9
                HD 30177              0    7.73500                   9
                HD 30177              0    7.73500                   9
             WD 0806-661              0   13.70700                   8
                HD 25171              0    7.25200                   7
                HD 27894              0    8.50800                   7
                HD 27894              0    8.50800                   7
                HD 27894              0    8.50800                   7
                HD 27442              0    3.33400                   6
                HD 39091              0    5.09700                   5
                HD 63454              0    8.38760                   5
                HD 68402              0    8.51400                   5
                 bet Pic              0    3.82000                   3
                HD 28254              0    7.02500                   3
                 Kapteyn              0    7.12100                   3
                HD 63765              0    7.39700                   3
                HD 48265              0    7.41200                   3
                HD 76700              0    7.49900                   3
              HD 41004 A              0    7.76800                   3
              HD 41004 B              0    7.76800                   3
                HD 23127              0    7.98500                   3
                  GJ 163              0    9.46700                   3
                  GJ 163              0    9.46700                   3
                  GJ 163              0    9.46700                   3
                  RR Cae              0   12.53000                   3
                HD 20794              0    3.64300                   2
                HD 20794              0    3.64300                   2
                HD 20794              0    3.64300                   2
                HD 20794              0    3.64300                   2
                HD 47536              0    4.27400                   2
                HD 11977              0    4.50400                   2
                  HR 810              0    4.90700                   2
                HD 10647              0    4.99900                   2
                   GJ 86              0    5.17600                   2
                 HD 4308              0    5.92300                   2
                HD 23079              0    6.55100                   2
               HD 100546              0    6.58500                   2
                HD 50499              0    6.65500                   2
                HD 10180              0    6.76100                   2
                HD 10180              0    6.76100                   2
                HD 10180              0    6.76100                   2
                HD 10180              0    6.76100                   2
                HD 10180              0    6.76100                   2
                HD 10180              0    6.76100                   2
                HD 76920              0    6.80400                   2
                HIP 8541              0    6.85900                   2
                HD 95086              0    7.15200                   2
                 HD 8535              0    7.19600                   2
                 HD 7199              0    7.30700                   2
                HD 83443              0    7.50500                   2
               HD 131664              0    7.52300                   2
                HD 27631              0    7.60800                   2
               HD 129445              0    8.12400                   2
                 HD 2039              0    8.43100                   2
            NGC 4349 127              0    9.25800                   2
               Fomalhaut              0    1.53700                   1
                 bet Cnc              0    2.34900                   1
                 tau Cet              0    2.71200                   1
                 tau Cet              0    2.71200                   1
                 tau Cet              0    2.71200                   1
                 tau Cet              0    2.71200                   1
                 eps Eri              0    3.21500                   1
                HD 66141              0    3.23700                   1
                HD 60532              0    4.12900                   1
                HD 60532              0    4.12900                   1
               HD 114613              0    4.27600                   1
               HD 102365              0    4.46700                   1
               HD 160691              0    4.70700                   1
               HD 160691              0    4.70700                   1
               HD 160691              0    4.70700                   1
               HD 160691              0    4.70700                   1
                  75 Cet              0    4.71800                   1
              HIP 105854              0    4.75300                   1
              HIP 107773              0    4.78600                   1
                  81 Cet              0    4.80100                   1
               HD 147513              0    4.95400                   1
                  51 Eri              0    5.02400                   1
                HD 30562              0    5.13100                   1
                 HD 4732              0    5.14100                   1
                 HD 4732              0    5.14100                   1
                  HD 142              0    5.16700                   1
                  HD 142              0    5.16700                   1
                HD 16417              0    5.17500                   1
                HD 47366              0    5.25800                   1
                HD 47366              0    5.25800                   1
               HD 219077              0    5.32300                   1
                  24 Sex              0    5.46700                   1
                  24 Sex              0    5.46700                   1
               HD 216435              0    5.54700                   1
                HD 38529              0    5.54700                   1
                HD 38529              0    5.54700                   1
                HD 69830              0    5.61700                   1
                HD 69830              0    5.61700                   1
                HD 69830              0    5.61700                   1
               HD 216437              0    5.62500                   1
                HD 52265              0    5.64400                   1
               HD 134987              0    5.68100                   1
               HD 134987              0    5.68100                   1
               HIP 65891              0    5.72600                   1
                HD 11964              0    5.73500                   1
                HD 11964              0    5.73500                   1
                HD 75289              0    5.82400                   1
               HIP 67537              0    5.86700                   1
               HIP 63242              0    5.87800                   1
                 HD 1461              0    5.91900                   1
                 HD 1461              0    5.91900                   1
                HD 82943              0    5.99400                   1
                HD 82943              0    5.99400                   1
               HIP 74890              0    6.08700                   1
               HD 114729              0    6.09000                   1
               HD 156411              0    6.13400                   1
                HD 16141              0    6.22100                   1
               HD 213240              0    6.23700                   1
                HD 42618              0    6.24500                   1
                HD 90156              0    6.26800                   1
                HD 33844              0    6.36100                   1
                HD 33844              0    6.36100                   1
                HD 85512              0    6.40529                   1
               HD 108147              0    6.48100                   1
                HD 86950              0    6.50700                   1
                HD 70642              0    6.52800                   1
               HD 222076              0    6.53700                   1
               HD 159868              0    6.54900                   1
               HD 159868              0    6.54900                   1
               HD 154857              0    6.55100                   1
               HD 154857              0    6.55100                   1
                HD 31253              0    6.57700                   1
               HD 117207              0    6.61000                   1
               HD 117618              0    6.61200                   1
                  GJ 832              0    6.68000                   1
                  GJ 832              0    6.68000                   1
               HD 103774              0    6.68800                   1
               HD 212771              0    6.75300                   1
               HD 142415              0    6.75800                   1
                HD 20782              0    6.76300                   1
               HD 102117              0    6.80700                   1
               HD 153950              0    6.82900                   1
               HD 106270              0    6.88300                   1
                HD 72659              0    6.88700                   1
               HD 111232              0    6.92300                   1
                HD 18742              0    6.93100                   1
                 HD 7449              0    6.94200                   1
               HIP 65426              0    6.94700                   1
               HD 208487              0    6.95500                   1
                HD 86264              0    6.96600                   1
               HD 104067              0    6.98300                   1
                HD 47186              0    6.98500                   1
                HD 47186              0    6.98500                   1
                HD 11506              0    6.99000                   1
                HD 11506              0    6.99000                   1
             HD 142022 A              0    7.00500                   1
               HD 121504              0    7.02000                   1
