loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist,rakane,deckane,elon,elat,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
7,1RXS J160929.1-210524,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,244.365684,-0.06841,48964101,242.376268,-21.083036,,,11.026,STAR,2mass,0.0,20180610,,,,,14.168,0.049,12.618,0.069,,,,,,,,,,,9.82,0.027000000000000003,9.121,0.023,8.916,0.021,8.794,0.022000000000000002,8.79,0.02,8.684,0.027999999999999997,8.531,0.37,11.8954,0.0003,0.018000000000000002,4060.0,,,,,,,,0.85,,,,,,,0.288462,,97,0.01429145,,0.0,knownplanet,242.376268,-21.083036,244.36568593528807,-0.06841585664319473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2MASS J21402931+1625183 A,21h40m29.32s,325.122159,+16d25m18.3s,16.421758999999998,333.590507,28.526095,301728657,325.122159,16.421758999999998,,,14.69,STAR,2mass,0.0,20180610,,,,,,,,,30.0,50.0,21.5491,0.0586894,19.7244,0.0222215,16.8302,0.00511099,15.1339,0.00496446,12.94,0.033,12.265999999999998,0.04,11.825999999999999,0.031,11.375,0.022000000000000002,11.135,0.02,10.687000000000001,0.096,8.971,,,,1.0,2300.0,,5.18316,,,,0.12,,0.08,,,0.0003630517,,,,0.122475,,53,0.2193466,,0.00180442471934216,knownplanet,325.122159,16.421758999999998,333.59050556289486,28.52608540229584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2MASS J02192210-3925225,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928000000006,13.508497,-49.30478,77111651,34.842106,-39.422928000000006,,,13.492,STAR,2mass,0.0,20180610,,,,,18.549,0.162,,,,,,,,,,,,,11.380999999999998,0.026000000000000002,10.811,0.027000000000000003,10.404000000000002,0.025,10.148,0.023,9.901,0.02,9.613999999999999,0.037000000000000005,9.001,,,,0.175,3064.0,,4.58551,,,,0.28,,0.11,,,0.0062253790000000005,,,,0.0138822,,16,6.464617e-06,,0.0018099594279491,knownplanet,34.842106,-39.422928000000006,13.508511479117194,-49.30478390407545,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,2MASS J04414489+2301513,04h41m44.90s,70.437073,+23d01m51.4s,23.030941000000002,72.050227,0.8024399999999999,118893899,70.437073,23.030941000000002,,,17.078,STAR,2mass,0.0,20180610,,,,,,,,,,,,,,,,,,,14.419,0.026000000000000002,13.725999999999999,0.028999999999999998,13.161,0.025,,,,,,,,,18.7136,0.0226887,0.028999999999999998,,,,,,,,,0.02,,,,,,,,,79,14.56426,,0.0,knownplanet,70.437073,23.030941000000002,72.05022834459146,0.8024470987031738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BD+48 738,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,54.573322999999995,32.030243,302069358,40.710224,49.58696,2.0,-7.5,8.07,STAR,2mass,0.0,20180610,1.4,1.3,,,10.352,0.036000000000000004,9.139,0.004,,,,,,,,,,,6.704,0.021,6.077000000000001,0.047,5.904,0.018000000000000002,5.8870000000000005,0.10300000000000001,5.831,0.052000000000000005,5.854,0.016,5.746,0.043,,,0.34700000000000003,4414.0,,2.22487,,,,11.0,,0.74,,GIANT,41.3818,,,,,,133,0.006160641,,0.00015165442611981398,knownplanet,40.710224,49.58696,54.573318158453866,32.030247628283256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,CHXR 73,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,238.71138,-66.332993,454291479,166.619893,-77.625877,,,14.424000000000001,STAR,2mass,0.0,20180610,,,,,,,,,,,,,,,,,,,12.674000000000001,0.027999999999999997,11.317,0.024,10.703,0.023,10.275,0.16899999999999998,10.201,0.02,10.107999999999999,0.051,9.406,,,,1.0,,,,,,,,,0.35,,,,,,,,,42,0.01444187,,0.0,knownplanet,166.619893,-77.625877,238.71135934636655,-66.33299789893445,0,0,0,0,0,0,0,0,0,0,0,1,0,1
68,CoRoT-13,06h50m53.07s,102.721137,-05d05m11.2s,-5.086444999999999,104.369342,-27.893388,281909674,102.721137,-5.086444999999999,-2.06661,-13.7179,14.347000000000001,STAR,2mass,0.0,20180610,2.16054,2.16054,,,15.21,0.10800000000000001,15.005,0.297,,,,,,,,,,,13.71,0.024,13.405999999999999,0.028999999999999998,13.376,0.039,13.17,0.025,13.217,0.03,12.615,,8.946,,14.8188,0.00138839,0.018000000000000002,5945.0,,4.46721,,,,1.01,,1.09,,DWARF,1.148008,,1357.41,,,,242,0.3382575,,9.83588394729999e-05,knownplanet,102.721137,-5.086444999999999,104.36934600547426,-27.893377001566197,0,0,0,0,0,1,0,0,0,0,0,0,0,1
69,CoRoT-14,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,105.21063600000001,-28.269246000000003,282706928,103.424211,-5.536037,-0.772672,0.809924,15.112,STAR,2mass,0.0,20180610,2.16054,2.16054,,,17.011,0.16,15.932,0.20600000000000002,,,,,,,,,,,14.321,0.036000000000000004,14.007,0.047,13.806,0.053,13.679,0.025,13.729000000000001,0.039,12.03,0.363,9.14,,15.6968,0.00230363,0.021,6035.0,,4.32594,,,,1.21,,1.13,,DWARF,1.749744,,,,,,189,0.09696122,,3.8862013356204795e-05,knownplanet,103.424211,-5.536037,105.2106392194273,-28.26923453640873,0,0,0,0,0,1,0,0,0,0,0,0,0,1
70,CoRoT-16,18h34m05.93s,278.524691,-06d00m09.3s,-6.0025949999999995,278.876385,17.174411,218299481,278.524691,-6.0025949999999995,,,14.619000000000002,STAR,2mass,0.0,20180610,,,,,17.417,0.10300000000000001,16.052,0.217,,,,,,,,,,,13.495999999999999,0.028999999999999998,12.98,0.03,12.847000000000001,0.037000000000000005,,,,,,,,,,,0.078,5650.0,,4.32873,,,,1.19,,1.1,,,1.300117,,,,,,883,0.7444987,,5.37255254660769e-05,knownplanet,278.524691,-6.0025949999999995,278.87638833684485,17.174399984515023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,CoRoT-11,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,282.166083,28.926737,110178537,280.687263,5.937688,,,11.987,STAR,2mass,0.0,20180610,,,,,13.529000000000002,0.028999999999999998,12.897,0.114,,,,,,,,,,,11.589,0.021,11.415999999999999,0.028999999999999998,11.248,0.022000000000000002,11.173,0.022000000000000002,11.265,0.021,11.47,0.20600000000000002,9.198,,12.6185,0.0005,0.113,6440.0,,4.26879,,0.04,0.03,1.37,,1.27,,,2.908569,,,,,,510,1.445533,,0.0002973624645553,knownplanet,280.687263,5.937688,282.16608678302543,28.92672603846844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,KELT-15,07h49m39.61s,117.41503700000001,-52d07m13.6s,-52.120453000000005,146.64333100000002,-70.216639,268644785,117.41503700000001,-52.120453000000005,-7.62534,-1.6582599999999998,10.667,STAR,2mass,0.0,20180610,1.39836,1.1039700000000001,2.70309,0.306924,11.809000000000001,0.166,11.39,0.012,,,,,,,,,,,10.205,0.024,9.919,0.023,9.854,0.025,9.787,0.023,9.817,0.02,9.787,0.037000000000000005,9.238,,11.0048,0.000345996,0.018000000000000002,6003.0,,4.16979,,,,1.48,,1.18,,DWARF,2.562663,,369.9471,,,,144,0.06196262,,0.0014005385460525,knownplanet,117.41503700000001,-52.120453000000005,146.64331873319176,-70.21662919242618,0,0,0,0,0,0,1,1,1,0,0,0,0,3
1111,KIC 10001893,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,303.635478,68.402799,158488181,287.389188,46.984489,,,15.229000000000001,STAR,2mass,0.0,20180610,,,,,15.073,0.109,15.829,0.15,,,,,,,,,,,16.363,0.10300000000000001,15.706,,16.612000000000002,,,,,,,,,,,,0.9,27500.0,,,,,,,,,,,,,,,,,134,0.5725842,,0.0,knownplanet;hotsdwrf,287.389188,46.984489,303.63547850174353,68.40278713406286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,KIC 10001893,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,303.635478,68.402799,158488181,287.389188,46.984489,,,15.229000000000001,STAR,2mass,0.0,20180610,,,,,15.073,0.109,15.829,0.15,,,,,,,,,,,16.363,0.10300000000000001,15.706,,16.612000000000002,,,,,,,,,,,,0.9,27500.0,,,,,,,,,,,,,,,,,134,0.5725842,,0.0,knownplanet;hotsdwrf,287.389188,46.984489,303.63547850174353,68.40278713406286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,KIC 10001893,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,303.635478,68.402799,158488181,287.389188,46.984489,,,15.229000000000001,STAR,2mass,0.0,20180610,,,,,15.073,0.109,15.829,0.15,,,,,,,,,,,16.363,0.10300000000000001,15.706,,16.612000000000002,,,,,,,,,,,,0.9,27500.0,,,,,,,,,,,,,,,,,134,0.5725842,,0.0,knownplanet;hotsdwrf,287.389188,46.984489,303.63547850174353,68.40278713406286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,KOI-217,19h39m27.72s,294.865505,+46d17m09.1s,46.285854,315.28103799999997,65.86130899999999,271354351,294.865505,46.285854,,,14.538,STAR,2mass,0.0,20180610,,,,,15.287,0.066,15.257,0.069,,,,,,,,,,,13.927,0.027000000000000003,13.55,0.023,13.469000000000001,0.04,13.311,0.023,13.395,0.024,13.312999999999999,,9.671,,14.9904,0.0015,0.019,5545.0,,4.54715,,,,0.86,,0.95,,,0.629938,,,,,,170,1.360475,,0.00017401673270447702,knownplanet,294.865505,46.285854,315.281033932686,65.86129807926804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,KOI-351,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,300.333344,71.227731,267667295,284.433492,49.305161,-4.17719,-2.29719,13.293,STAR,2mass,0.0,20180610,2.19653,2.19656,,,14.604000000000001,-0.009000000000000001,13.883,0.069,,,,,,,,,,,12.79,0.028999999999999998,12.530999999999999,0.033,12.482000000000001,0.024,12.437999999999999,0.023,12.475999999999999,0.023,12.513,0.27699999999999997,9.588,,13.6628,0.000765264,0.02,6080.0,,4.35925,,,,1.2,,1.2,,DWARF,1.772848,,868.929,,0.0475626,,81,0.01031059,,0.000367035827786477,knownplanet,284.433492,49.305161,300.3333461115435,71.22771943027946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,KOI-12,19h49m48.90s,297.453731,+41d00m39.6s,41.010991,314.555477,60.27425699999999,169461816,297.453731,41.010991,4.28213,3.17844,10.889000000000001,STAR,2mass,0.0,20180610,3.5298599999999998,1.236,2.1720099999999998,0.62657,11.731,0.17300000000000001,11.51,0.013999999999999999,,,,,,,,,,,10.460999999999999,0.02,10.287,0.022000000000000002,10.234,0.018000000000000002,10.189,0.023,10.198,0.02,10.015,0.042,9.201,,11.2018,0.000345996,0.017,6820.0,,4.17542,,,,1.63,,1.45,,DWARF,5.178541,,465.32300000000004,,,,360,0.3283503,,0.0007880899713988231,knownplanet,297.453731,41.010991,314.55547383671126,60.274245576776416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,Kepler-1001,19h05m05.73s,286.273871,+48d37m07.3s,48.618706,303.138795,70.191916,405719252,286.273871,48.618706,3.15428,-0.964685,14.747,STAR,2mass,0.0,20180610,2.1959,2.1959,,,16.453,0.069,15.582,0.126,,,,,,,,,,,14.109000000000002,0.028999999999999998,13.718,0.038,13.662,0.043,13.594000000000001,0.024,13.625,0.027000000000000003,13.013,0.449,9.582,,15.2197,0.00173642,0.02,5491.0,,4.50371,,,,0.88,,0.9,,DWARF,0.6342578000000001,,,,,,91,0.0140531,,0.00016952691556789098,knownplanet,286.273871,48.618706,303.1387956721035,70.19190466068919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,Kepler-1010,19h16m46.23s,289.192636,+44d08m57.6s,44.149326,304.387247,65.313486,158989909,289.192636,44.149326,,,14.03,STAR,2mass,0.0,20180610,,,,,15.970999999999998,0.055999999999999994,14.964,0.183,,,,,,,,,,,13.293,0.021,12.878,0.021,12.770999999999999,0.024,12.743,0.024,12.779000000000002,0.024,12.378,,8.732000000000001,,14.5757,0.0012,0.017,5253.0,,4.5453,,,,0.82,,0.86,,,0.4612666,,,,,,133,0.05825033,,0.000306063814878188,knownplanet,289.192636,44.149326,304.3872470518964,65.31347444398945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,Kepler-1023,19h16m07.14s,289.029742,+49d46m10.9s,49.769707000000004,309.386601,70.617603,299154193,289.029742,49.769707000000004,,,13.485999999999999,STAR,2mass,0.0,20180610,,,,,,,13.755999999999998,0.02,,,,,,,,,,,13.243,0.027000000000000003,12.897,0.028999999999999998,12.762,0.03,12.716,0.023,12.789000000000001,0.024,12.984000000000002,0.455,9.573,,13.6497,0.0008,0.019,5494.0,,4.50813,,,,0.89,,0.93,,,0.6501736,,,,0.0922,,99,0.02761991,,0.00048366875584741697,knownplanet,289.029742,49.769707000000004,309.386598044036,70.61759160345522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,Kepler-1024,19h27m48.24s,291.950991,+38d15m06.1s,38.251698,304.823981,59.065654,137349536,291.950991,38.251698,,,15.197000000000001,STAR,2mass,0.0,20180610,,,,,16.234,0.071,16.272000000000002,0.24,18.5219,0.0183977,16.6632,0.00385271,15.9662,0.00357771,15.729000000000001,0.00385283,15.5674,0.00590195,14.589,0.036000000000000004,14.052999999999999,0.040999999999999995,14.05,0.067,13.828,0.026000000000000002,13.885,0.035,12.887,,9.26,,15.6475,0.0022,0.022000000000000002,5143.0,,4.56272,,,,0.78,,0.81,,,0.3834864,,,,,,219,0.5206341,,0.000104155377270451,knownplanet,291.950991,38.251698,304.8239816232125,59.06564288787925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,Kepler-1037,19h45m21.85s,296.341029,+47d10m15.1s,47.170856,318.461448,66.234718,272282253,296.341029,47.170856,,,13.567,STAR,2mass,0.0,20180610,,,,,14.573,0.040999999999999995,14.475,0.126,,,,,,,,,,,12.821,0.027999999999999997,12.327,0.02,12.248,0.024,12.207,0.033,12.275,0.034,12.49,0.349,9.052,,14.1199,0.000961976,0.019,5105.0,,4.56805,,,,0.78,,0.82,,,0.3722776,,,,,,215,0.4082965,,0.00047000774921952403,knownplanet,296.341029,47.170856,318.46144195715704,66.23470693022989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,Kepler-1051,19h40m37.95s,295.15810600000003,+40d53m55.9s,40.898849,311.183123,60.790797999999995,138968338,295.15810600000003,40.898849,,,12.698,STAR,2mass,0.0,20180610,,,,,12.877,0.06,13.212,0.057,,,,,,,,,,,12.220999999999998,0.021,11.993,0.023,12.01,0.025,11.949000000000002,0.051,11.994000000000002,0.047,12.218,,9.204,,13.0481,0.0005677459999999999,0.018000000000000002,6675.0,,4.1176699999999995,,-0.121,0.405,1.73,,1.43,,,5.3529349999999996,,811.4839999999999,,,,264,1.7211450000000001,,0.000208013570542975,knownplanet,295.15810600000003,40.898849,311.18312146414195,60.79078679974259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,Kepler-1056,19h58m06.24s,299.52598,+46d53m57.3s,46.899260999999996,322.859167,65.01248199999999,268935452,299.52598,46.899260999999996,-3.16069,-0.506513,13.940999999999999,STAR,2mass,0.0,20180610,2.14747,2.14747,,,15.425999999999998,0.069,14.772,0.172,,,,,,,,,,,13.242,0.028999999999999998,12.895,0.033,12.827,0.019,12.825999999999999,0.024,12.847000000000001,0.025,12.785,,9.552,,14.4595,0.00114615,0.019,6127.0,,4.329280000000001,,,,1.2,,1.12,,DWARF,1.8283049999999998,,1019.97,,,,263,0.3566518,,0.000179748174320891,knownplanet,299.52598,46.899260999999996,322.8591599043949,65.01247188503459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,Kepler-1065,19h38m02.70s,294.511258,+38d47m25.8s,38.790501,308.849444,58.968288,378012771,294.511258,38.790501,6.9034,-0.7565,14.883,STAR,2mass,0.0,20180610,2.16284,2.16284,,,15.002,0.067,15.744000000000002,0.069,,,,,,,,,,,14.177999999999999,0.035,13.802,0.034,13.671,0.05,13.644,0.024,13.794,0.028999999999999998,12.856,,9.429,,15.405,0.00193337,0.021,5635.0,,4.47459,,,,0.93,,0.94,,DWARF,0.7856628999999999,,,,,,280,0.7881661999999999,,0.000103664401335467,knownplanet,294.511258,38.790501,308.8494428106391,58.96827733296776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,Kepler-1065,19h38m02.70s,294.511258,+38d47m25.8s,38.790501,308.849444,58.968288,378012771,294.511258,38.790501,6.9034,-0.7565,14.883,STAR,2mass,0.0,20180610,2.16284,2.16284,,,15.002,0.067,15.744000000000002,0.069,,,,,,,,,,,14.177999999999999,0.035,13.802,0.034,13.671,0.05,13.644,0.024,13.794,0.028999999999999998,12.856,,9.429,,15.405,0.00193337,0.021,5635.0,,4.47459,,,,0.93,,0.94,,DWARF,0.7856628999999999,,,,,,280,0.7881661999999999,,0.000103664401335467,knownplanet,294.511258,38.790501,308.8494428106391,58.96827733296776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,Kepler-635,19h19m05.58s,289.773247,+40d48m02.6s,40.800724,303.045706,61.990359999999995,394174221,289.773247,40.800724,-1.45729,-3.27581,12.78,STAR,2mass,0.0,20180610,2.13619,2.13619,,,14.100999999999999,0.021,13.36,0.13699999999999998,,,,,,,,,,,12.235,0.027999999999999997,11.959000000000001,0.032,11.902999999999999,0.024,11.887,0.022000000000000002,11.915,0.022000000000000002,12.128,0.273,8.783999999999999,,13.1826,0.000605661,0.019,6174.0,,4.204330000000001,,,,1.51,,1.33,,DWARF,2.984799,,590.909,,,,159,0.09586196,,0.000289455153970935,knownplanet,289.773247,40.800724,303.0457068938875,61.99034922774531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007,Kepler-646,19h21m53.12s,290.471339,+44d23m13.5s,44.387085,306.643121,65.243052,159441621,290.471339,44.387085,,,13.183,STAR,2mass,0.0,20180610,,,,,14.835,0.024,14.026,0.126,,,,,,,,,,,12.525,0.023,12.139000000000001,0.02,12.089,0.016,12.06,0.023,12.095999999999998,0.022000000000000002,12.157,0.27699999999999997,8.941,,13.6708,0.0008,0.018000000000000002,5634.0,,4.48883,,,,0.91,,0.93,,,0.7517005,,,,,,141,0.1219349,,0.000508992609481242,knownplanet,290.471339,44.387085,306.64312021351384,65.24304050316552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,Kepler-664,19h15m01.17s,288.754887,+48d13m34.3s,48.2262,307.20783,69.254921,299033092,288.754887,48.2262,0.5662659999999999,3.7287,14.963,STAR,2mass,0.0,20180610,2.1770400000000003,2.17705,,,16.621,0.07400000000000001,15.663,0.275,,,,,,,,,,,14.366,0.033,14.064,0.047,13.952,0.047,13.932,0.024,14.003,0.031,13.078,,9.621,,15.4055,0.001934,0.021,5754.0,,4.42555,,,,1.02,,1.01,,DWARF,1.027483,,,,,,107,0.06429708,,0.000109220875029014,knownplanet,288.754887,48.2262,307.20782899606104,69.2549092077875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,Kepler-666,19h53m49.64s,298.45684,+48d47m29.7s,48.791592,323.515787,67.018579,267989336,298.45684,48.791592,3.72269,2.3689,14.802999999999999,STAR,2mass,0.0,20180610,2.1191400000000002,2.1191400000000002,,,16.282,0.006,15.422,0.10300000000000001,,,,,,,,,,,14.199000000000002,0.028999999999999998,13.853,0.043,13.807,0.040999999999999995,13.812999999999999,0.025,13.86,0.03,13.007,,9.347000000000001,,15.2505,0.00176734,0.02,5887.0,,4.40889,,,,1.05,,1.03,,DWARF,1.193025,,,,,,175,0.058507,,0.000113434746509278,knownplanet,298.45684,48.791592,323.51577873429846,67.01856887420183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3056,Kepler-686,19h00m51.31s,285.213807,+39d01m38.9s,39.027485,294.994835,61.153228000000006,399794420,285.213807,39.027485,2.32151,-0.20566199999999998,14.969000000000001,STAR,2mass,0.0,20180610,2.12102,2.12102,,,16.403,0.07400000000000001,16.02,0.126,17.409000000000002,0.00959617,16.0107,0.00317265,15.4612,0.0034481,15.2759,0.00380145,15.2294,0.00509017,14.35,0.039,13.940999999999999,0.044000000000000004,13.917,0.057,13.835,0.025,13.823,0.03,12.613,,8.869,,15.4275,0.00195923,0.023,5649.0,,4.48398,,,,0.92,,0.94,,DWARF,0.7765272,,,,,,106,0.2949288,,0.000104111669071545,knownplanet,285.213807,39.027485,294.99483871768206,61.15321644340453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3062,Kepler-690,19h37m57.58s,294.489906,+39d46m17.2s,39.771446000000005,309.444601,59.901536,377918545,294.489906,39.771446000000005,,,15.027999999999999,STAR,2mass,0.0,20180610,,,,,16.692,,15.700999999999999,0.081,,,,,,,,,,,14.412,0.036000000000000004,14.113,0.054000000000000006,14.106,0.07400000000000001,13.845999999999998,0.025,13.99,0.039,12.379000000000001,,9.426,,15.4838,0.002,0.022000000000000002,5913.0,,4.35484,,,,1.16,,1.11,,,1.4819790000000002,,,,,,233,0.08024178,,6.8748772084058e-05,knownplanet,294.489906,39.771446000000005,309.44460117980583,59.90152455667947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3080,Kepler-707,19h20m01.82s,290.00757000000004,+42d06m59.3s,42.116459000000006,304.251241,63.196268,159217349,290.00757000000004,42.116459000000006,-0.414799,-1.12652,14.342,STAR,2mass,0.0,20180610,2.11899,2.11899,,,15.834000000000001,0.066,15.022,0.195,,,,,,,,,,,13.604000000000001,0.021,13.106,0.018000000000000002,13.004000000000001,0.023,13.046,0.025,13.095999999999998,0.027999999999999997,12.679,0.40299999999999997,9.432,,14.8885,0.0014423,0.017,5099.0,,4.57989,,,,0.76,,0.8,,GIANT,0.3517725,,,,,,150,0.13343339999999998,,0.000250132795955459,knownplanet,290.00757000000004,42.116459000000006,304.251241745943,63.196256637471656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
