loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist,rakane,deckane,elon,elat,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
3300,Kepler-876,18h53m54.77s,283.478199,+43d23m01.6s,43.383781,294.297387,65.690067,164529393,283.47819599999997,43.383777,-5.85133,-9.41,14.667,STAR,2mass,0.0164002585254896,20180610,2.12018,2.12018,,,16.25,0.068,15.647,0.217,,,,,,,,,,,13.925,0.026000000000000002,13.437000000000001,0.03,13.354000000000001,0.042,13.29,0.024,13.308,0.025,12.091,0.209,8.921,,15.217,0.00173374,0.019,5060.0,,4.573930000000001,,,,0.77,,0.81,,DWARF,0.3501694,,,,,,102,0.8787091,,0.000188843508236992,knownplanet,283.478199,43.383781,294.29739211123285,65.69005522270992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2862,Kepler-54,19h39m05.75s,294.77393900000004,+43d03m22.7s,43.056295,312.246673,62.908501,271262203,294.773936,43.056290999999995,-1.1059299999999999,-24.1908,14.75,STAR,2mass,0.0164205320157937,20180610,2.1019200000000002,2.1019200000000002,,,18.000999999999998,0.16699999999999998,16.282,0.423,,,,,,,,,,,13.508,0.023,12.897,0.024,12.648,0.021,12.573,0.024,12.519,0.023,12.665999999999999,0.44299999999999995,9.448,,15.6428,0.00222885,0.018000000000000002,4252.0,,4.66527,,,,0.55,,0.51,,DWARF,0.08908264,,,,,,262,0.3575477,,0.000281252901817154,knownplanet,294.77393900000004,43.056295,312.2466695826102,62.908489871325116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2863,Kepler-54,19h39m05.75s,294.77393900000004,+43d03m22.7s,43.056295,312.246673,62.908501,271262203,294.773936,43.056290999999995,-1.1059299999999999,-24.1908,14.75,STAR,2mass,0.0164205320157937,20180610,2.1019200000000002,2.1019200000000002,,,18.000999999999998,0.16699999999999998,16.282,0.423,,,,,,,,,,,13.508,0.023,12.897,0.024,12.648,0.021,12.573,0.024,12.519,0.023,12.665999999999999,0.44299999999999995,9.448,,15.6428,0.00222885,0.018000000000000002,4252.0,,4.66527,,,,0.55,,0.51,,DWARF,0.08908264,,,,,,262,0.3575477,,0.000281252901817154,knownplanet,294.77393900000004,43.056295,312.2466695826102,62.908489871325116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2864,Kepler-54,19h39m05.75s,294.77393900000004,+43d03m22.7s,43.056295,312.246673,62.908501,271262203,294.773936,43.056290999999995,-1.1059299999999999,-24.1908,14.75,STAR,2mass,0.0164205320157937,20180610,2.1019200000000002,2.1019200000000002,,,18.000999999999998,0.16699999999999998,16.282,0.423,,,,,,,,,,,13.508,0.023,12.897,0.024,12.648,0.021,12.573,0.024,12.519,0.023,12.665999999999999,0.44299999999999995,9.448,,15.6428,0.00222885,0.018000000000000002,4252.0,,4.66527,,,,0.55,,0.51,,DWARF,0.08908264,,,,,,262,0.3575477,,0.000281252901817154,knownplanet,294.77393900000004,43.056295,312.2466695826102,62.908489871325116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,HATS-27,12h54m12.61s,193.55256,-46d35m15.8s,-46.587715,213.17096099999998,-37.043655,248111245,193.552555,-46.587711999999996,-30.4851,18.8195,12.280999999999999,STAR,2mass,0.0164215189580626,20180610,3.06676,3.0667400000000002,,,13.239,0.049,12.782,0.069,,,,,,,,,,,11.831,0.022000000000000002,11.651,0.023,11.55,0.023,11.527999999999999,0.023,11.527000000000001,0.021,11.592,0.152,9.374,,12.6107,0.00046101800000000005,0.018000000000000002,6438.0,,4.10962,,,,1.74,,1.42,,DWARF,4.685944,,748.4639999999999,,0.106304,,105,0.5939924,,0.00020569824187071398,knownplanet,193.55256,-46.587715,213.17095386210923,-37.04365527811447,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3085,Kepler-712,19h39m38.34s,294.90973399999996,+42d56m06.9s,42.935261,312.352085,62.759513,271347119,294.909731,42.935257,-5.59058,-10.2604,15.164000000000001,STAR,2mass,0.0164280146009753,20180610,2.1019200000000002,2.1019200000000002,,,16.635,0.069,16.160999999999998,0.172,,,,,,,,,,,14.399000000000001,0.027999999999999997,13.982000000000001,0.034,13.841,0.052000000000000005,13.882,0.026000000000000002,13.940999999999999,0.035,12.504000000000001,,9.346,,15.7302,0.0023515999999999997,0.019,5148.0,,4.57852,,,,0.78,,0.84,,DWARF,0.38497990000000004,,,,,,211,0.2323965,,0.00011641480206308502,knownplanet,294.90973399999996,42.935261,312.35208288685965,62.75950150698503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086,Kepler-712,19h39m38.34s,294.90973399999996,+42d56m06.9s,42.935261,312.352085,62.759513,271347119,294.909731,42.935257,-5.59058,-10.2604,15.164000000000001,STAR,2mass,0.0164280146009753,20180610,2.1019200000000002,2.1019200000000002,,,16.635,0.069,16.160999999999998,0.172,,,,,,,,,,,14.399000000000001,0.027999999999999997,13.982000000000001,0.034,13.841,0.052000000000000005,13.882,0.026000000000000002,13.940999999999999,0.035,12.504000000000001,,9.346,,15.7302,0.0023515999999999997,0.019,5148.0,,4.57852,,,,0.78,,0.84,,DWARF,0.38497990000000004,,,,,,211,0.2323965,,0.00011641480206308502,knownplanet,294.90973399999996,42.935261,312.35208288685965,62.75950150698503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3020,Kepler-655,19h49m02.18s,297.259092,+46d50m35.5s,46.843193,319.487071,65.664986,273044848,297.25908599999997,46.843191,-11.811,-5.47351,13.01,STAR,2mass,0.0164353650401517,20180610,2.09551,2.09551,,,14.149000000000001,0.019,13.568,0.069,,,,,,,,,,,12.495,0.021,12.243,0.017,12.214,0.02,12.165999999999999,0.023,12.196,0.021,11.776,0.19,9.317,,13.3892,0.000669326,0.018000000000000002,6170.0,,4.31228,,,,1.24,,1.15,,DWARF,2.007607,,917.2330000000001,,,,233,0.02434225,,0.000373844622780955,knownplanet,297.259092,46.843193,319.4870649417039,65.66497475692316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3615,WASP-131,14h00m46.45s,210.19354199999998,-30d35m00.8s,-30.583567,218.863269,-17.132849,271168962,210.193538,-30.583564000000003,11.6534,-8.65945,9.426,STAR,2mass,0.0164414213445952,20180610,1.36165,0.9394100000000001,4.55168,0.555135,10.620999999999999,0.075,10.068,0.005,,,,,,,,,,,8.895,0.027000000000000003,8.652999999999999,0.04,8.573,0.019,8.537,0.023,8.566,0.021,8.523,0.024,8.192,0.21600000000000003,9.8183,0.000345996,0.019,6030.0,,4.09435,,-0.25,0.09,1.53,,1.06,,DWARF,2.788347,,219.6991,30.4574,0.0503341,,52,0.00888666,,0.00147036335692037,knownplanet,210.19354199999998,-30.583567,218.8632671572312,-17.132851296055275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3363,Kepler-929,19h53m55.47s,298.481124,+41d36m55.2s,41.615332,316.464765,60.542286,170733187,298.481121,41.615328000000005,-2.3666,-20.2486,13.923,STAR,2mass,0.0165092196136418,20180610,2.17525,2.17525,,,16.144000000000002,0.067,14.738,0.183,,,,,,,,,,,13.270999999999999,0.024,12.89,0.024,12.849,0.024,12.79,0.025,12.852,0.025,11.946,0.17,9.092,,14.4069,0.00111511,0.018000000000000002,5869.0,,4.42555,,,,1.02,,1.01,,DWARF,1.11212,,810.663,,,,370,0.8405398999999999,,0.000203035268959147,knownplanet,298.481124,41.615332,316.4647623765245,60.5422749735771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
