RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST
0.7744850000000001,-62.46934200000001,13.129,5380.0,0.000402375624887,0.98,0.95,0.00197394908005,323.101048,-54.693791,,355703913,knownplanet
4.859266000000001,44.027639,12.768,5215.0,0.000490635153897,0.85,0.9,0.0844185605439,24.885917000000006,37.837779,,440113053,knownplanet
14.486328,34.985534,6.635,4830.0,0.000268863247045,9.09,1.01,0.00114627164802,27.679765000000003,26.393489,222.195267721,53848538,knownplanet
25.471452,2.704374,6.936,5034.0,0.0,,1.56,0.0006256421944299999,24.601507,-7.330278,129.647701772,380908091,knownplanet
13.000781,34.728414,12.255,5680.0,0.000397975950925,1.1,1.02,0.0460947966911,26.326671,26.688066,,53728859,knownplanet
25.920324,21.005313,8.048,4296.0,6.99947684836e-05,17.3,0.8,0.000244490035134,31.621666,9.587492,1083.63688732,60923874,knownplanet
21.871105,38.968146,13.024,5956.0,0.000229251946923,1.21,1.09,0.00254023078341,35.56438,27.502315000000007,,189380158,knownplanet
3.903156,-11.938108,12.333,5410.0,0.000431291346952,0.93,0.95,0.00610108155056,358.756977,-12.490449,,12862099,knownplanet
26.232612,20.083129,6.016,5680.0,0.0,,1.11,0.000392137069855,31.5598,8.621986,32.5732899023,456905162,knownplanet
13.755862,0.789563,7.127000000000002,4958.0,0.0,3.85,1.51,5.347744558890001e-07,12.966352,-4.69972,119.644308508,344627954,knownplanet
11.418138,7.8450380000000015,6.934,5035.0,0.0,4.9,1.72,0.000306748069609,13.56143,2.706575,132.284497588,405228516,knownplanet
5.305528,-8.281153999999999,7.902,4393.0,7.74692890026e-05,16.7,1.09,0.00026895355314700004,1.549852,-9.703129,673.702786525,37763102,knownplanet
15.138324,20.292482,7.095,4907.0,0.000254288311758,8.7,1.91,0.00033079914102099995,21.830278,12.753797,272.481798365,243146568,knownplanet
5.131345,30.974847,6.62,4757.0,0.000995922900717,3.8,1.31,0.00317911134293,17.854832000000005,26.21173,89.7086042603,57983992,knownplanet
19.449314,6.868908,12.959,5627.0,0.0,1.05,1.01,0.0007744067094269997,20.54607,-1.247383,,376939759,knownplanet
27.526336,-54.464995,6.859,4670.0,0.000434490841308,7.83,1.17,0.00744015730493,351.475359,-58.58955600000001,155.78834733899998,231019255,knownplanet
4.821035,14.054799,7.497000000000001,5049.0,0.0006230459000619999,4.5,1.61,0.000607240278494,10.055009,10.974988,159.23566879,303193565,knownplanet
34.560706,65.594365,6.994,6255.0,0.00377942225489,1.67,1.29,0.00271077951455,59.483236,47.924388,79.9686122712,12906712,knownplanet
59.152386,22.472657,12.275,4421.98,0.0,0.63,0.7,0.0489780716994,61.698488,2.013134,,14111411,knownplanet
59.889734,21.29867,10.404000000000002,5730.0,0.0,1.23,0.88,0.0388326707233,62.131799,0.725223,,14227229,knownplanet
39.240605,24.648051,6.574,6300.0,0.0051604281967,1.13,1.16,1.27893721441,44.567817,8.854792999999997,46.6785629293,22874788,knownplanet
47.368966,30.67357,10.847,4980.0,0.00147392634403,0.79,0.83,0.0399599302411,53.369999,12.494128,133.477183406,85593751,knownplanet
51.552762,18.635604,12.255999999999998,5482.0,0.0,0.76,0.79,0.0593654882052,53.900148,-0.115635,,25958378,knownplanet
53.651,20.59926,10.358,5766.0,0.0,0.93,0.96,4.20435161153e-05,56.292536,1.31234,173.12590554,26123781,knownplanet
41.63909,-0.463937,11.263,6272.0,0.0004976038111010001,1.36,1.22,0.00772210059449,39.05549,-15.766516,,35857242,knownplanet
42.767844,30.286785,6.979,5904.0,0.00520564791745,1.18,0.98,0.0005647228127840001,49.360779,13.266206,44.52070645630001,77490014,knownplanet
41.040001,-30.169041,10.452,6250.0,0.000663643928381,1.98,1.39,0.000448100942724,26.202678,-43.383719,422.925700859,122612091,knownplanet
50.01492,-28.854056,6.763,5798.0,0.00724248958689,1.09,1.02,0.0007303352050840001,36.976785,-45.210687,35.8503546248,144503325,knownplanet
36.775436,-50.284518,9.632,6038.0,0.00297617862955,1.17,1.13,0.000207751523995,5.024097,-59.083661,156.373599871,166739520,knownplanet
39.897688,-50.008005,8.923,6180.0,0.00231911859372,1.76,1.48,0.0008077893145410001,8.474121,-60.099114,154.769492471,166836920,knownplanet
47.809326,21.097329,7.822999999999999,5485.0,0.0,1.0,0.99,0.00022931412002200004,51.130941,3.169326,50.7678088004,113810736,knownplanet
31.142844,25.414287,6.771,5748.0,0.005882881207880001,1.11,1.02,0.000940453810215,37.783628,12.001366,37.9424724908,118268680,knownplanet
57.00151999999999,40.530639,6.691,5904.0,0.0,,1.16,0.034982485372,63.856749,20.039445,52.1558890684,201266092,knownplanet
59.037513,13.559266,11.669,5441.0,0.0006683384640499999,0.87,0.9,0.00271889469233,59.763846,-6.689226,,242961495,knownplanet
54.929654000000006,-52.915864,6.551,5927.0,0.0,,1.01,0.00124574269029,21.354693,-68.16062600000001,33.1733950432,206402844,knownplanet
35.383261,32.246138,11.685,5330.0,0.000671608504292,0.92,0.89,0.016400491285500002,43.813216,17.141023999999998,,285272237,knownplanet
33.131139000000005,51.77876,11.224,6087.0,0.0006977359582260001,1.22,1.21,0.359332263956,50.240635,35.894104,329.137105351,250707118,knownplanet
38.833057,-3.5606120000000003,6.221,5794.0,0.0,,1.12,0.0309006391558,35.251603,-17.813865,37.2943753992,251109533,knownplanet
32.781778,2.418047,10.661,4910.0,0.0017643020714000004,0.76,0.84,0.00179309500903,31.418387,-10.16434,,270380593,knownplanet
58.955972,-65.18674200000001,7.252000000000002,6160.0,0.0162325767402,1.18,1.09,0.000190284922633,351.804303,-77.370163,56.8290730096,237933846,knownplanet
31.042844,46.687837,10.725,6269.0,0.0010019461900199998,1.22,,0.0211320518407,46.251645,31.794519,264.084361685,292152376,knownplanet
34.197387,43.773004,7.01,5829.0,0.005142153368770001,1.23,1.02,0.00262064091169,47.313866,28.247473,46.7492896053,292851928,knownplanet
52.818043,-23.819696,11.164,6153.0,0.0007794235776480001,1.25,1.25,0.00809946530054,42.581803,-41.334699,318.627306469,257567854,knownplanet
43.688073,-10.89808,11.008,5400.0,0.00135723074823,0.84,0.89,0.02566404305,37.613812,-26.312299,183.574427248,382391899,knownplanet
42.435301,71.753218,7.608,6100.0,0.00434526190236,1.44,1.24,0.00317333818356,67.987904,51.934671,79.8196889471,302773669,knownplanet
55.93344,-65.19385600000001,11.547,5650.0,0.00167142608568,1.2,1.02,0.0457802032237,349.819048,-76.18589200000002,,388104525,knownplanet
54.84851999999999,-60.077849,7.985,,0.0,,1.13,4.99880938136e-05,5.85364,-73.219995,93.3894202624,311924816,knownplanet
39.25790900000001,42.062593,6.7010000000000005,6022.0,0.0,,1.34,0.0127258992868,50.507011,25.326808,58.3472589687,422922274,knownplanet
55.255912,13.519371,11.133,5926.0,0.000546917473286,1.28,1.06,0.00912491241195,56.144417,-5.930116,,435339558,knownplanet
57.59569200000001,17.476369000000002,6.865,5853.0,0.0,,1.18,0.000444869594116,59.225008,-2.568001,45.8418827783,456863621,knownplanet
30.611386,2.815847,7.605,5920.0,0.0,,1.01,2.95932299629e-05,29.491475,-9.046516,48.7155957976,419940916,knownplanet
36.712769,37.550477,7.871,7430.0,0.00321607534788,1.44,1.5,0.0288602475427,46.81989,21.75526,117.526055355,129979528,knownplanet
52.341886,22.299366,12.466,5425.0,0.0,0.84,0.9,0.583804061343,55.51633,3.254845,,26017005,knownplanet
55.228421,12.572655,11.2,4970.0,0.0011488767498,0.76,0.8,0.00282804362721,55.90079100000001,-6.845742,,435339847,knownplanet
49.562227,-41.302145,11.664,5310.0,0.00134339566522,0.8,0.92,0.00865328631166,28.270993,-56.408685,,159951311,knownplanet
58.42880400000001,-34.328198,12.315,5473.0,0.00098143144823,0.74,0.81,0.00170623083157,44.25148,-52.87024399999999,,166833457,knownplanet
37.155148,-7.060682000000001,9.502,5500.0,0.002955135167,0.95,1.0,0.000123808731499,32.352546000000004,-20.560916,100.96806865100001,1129033,knownplanet
55.206416,31.826239,7.9013399999999985,5027.0,0.0,,0.75,9.15148037568e-05,60.29819300000001,11.904591,31.413311964600002,101166776,knownplanet
50.177858,-33.730104,8.93881,4795.0,0.00661200627015,0.79,0.78,0.00299750313643,34.435153,-49.77725,48.188797190100004,142851295,knownplanet
40.710224,49.58696,8.07,4414.0,0.00015165442612,11.0,0.74,0.00616064092833,54.573323,32.030243,,302069358,knownplanet
45.640531,49.73000800000001,8.219,4943.0,0.000251137246343,7.6,1.52,0.005109100202,58.151802,31.078588,407.627138988,116376059,knownplanet
48.435426,25.197398,12.125,5500.0,0.000430518251828,0.96,1.01,0.07188902971149999,52.785611,6.967515,,35022727,knownplanet
53.869338,-25.739395,16.311,,0.0,,0.7,0.014619394810799997,42.96958,-43.459363,,144622139,knownplanet
