loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist
647,HD 47536,06h37m47.62s,99.44841,-32d20m23.0s,-32.339733,104.107491,-55.317254,52172862,99.448454,-32.339792,107.771,64.9376,4.274,STAR,2mass,0.251046642767987,20180610,0.0214042,0.0230393,7.95434,0.570339,6.431,0.016,5.25,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.179,0.27,2.471,0.21,2.383,0.252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.93831,0.000345996,0.032,4424,NaN,1.69736,NaN,NaN,NaN,22.39,NaN,0.91,NaN,GIANT,173.0069,NaN,125.7175,8.41106,0.0982858,NaN,67,0.01878911,,1,bright;knownplanet
3744,bet Cnc,08h16m30.92s,124.128838,+09d11m08.0s,9.185545,124.257321,-10.287595,458582777,124.128769,9.18556,-47,-49,2.349,STAR,2mass,0.251090077233873,20180610,8,8,11.23,0.97,5.001,0.013,3.51012,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.191,0.25,0.267,0.16,0.19,0.202,-2.104,NaN,-1.241,NaN,0.13,0.208,0.05,0.017,NaN,NaN,0.259,4092.1,NaN,1.32099,NaN,NaN,NaN,47.2,NaN,1.7,NaN,GIANT,562.8124,NaN,89.0472,7.69152,0.0258729,NaN,76,0.001469059,,1,bright;knownplanet
547,HD 220842,23h26m36.99s,351.654114,+56d53m11.5s,56.886528,25.725072,53.131594,251866143,351.654043,56.886587,-88.8941,141.674,7.396,STAR,2mass,0.254187694913778,20180610,0.0647511,0.0675221,15.3696,0.224513,8.573,0.024,7.98,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.847,0.02,6.627,0.02,6.555,0.023,6.482,0.075,6.48,0.023,6.532,0.014,6.546,0.054,7.80121,0.000345996,0.017,5960,NaN,NaN,NaN,-0.254228,0.0315584,NaN,NaN,1.13,NaN,DWARF,NaN,NaN,65.0635,1.58624,NaN,NaN,215,0.0324158,,0,knownplanet
3774,xi Aql,19h54m14.88s,298.562012,+08d27m41.2s,8.461452,302.633048,28.722432,375464367,298.562027,8.461522,100.47,-80.51,4.372,STAR,2mass,0.257598261171615,20180610,2,2,15.96,1.01,5.761,0.017,4.70964,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.852,0.22,2.367,0.174,2.171,0.22,0.633,NaN,0.569,NaN,2.325,0.015,2.216,0.02,4.63724,0.000345996,0.066,4780,NaN,2.62249,NaN,NaN,NaN,12,NaN,2.2,NaN,GIANT,67.72808,NaN,62.65664,3.96511,NaN,NaN,277,0.008256732,,1,bright;knownplanet
512,HD 208897,21h58m59.69s,329.748718,+19d01m13.1s,19.020302,339.376304,29.239852,423862056,329.748761,19.020243,77,-34,5.574,STAR,2mass,0.257937248665012,20180610,8,8,15.68,0.8,7.523,0.019,6.50821,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.74,0.037,4.39,0.036,4.198,0.036,4.141,0.329,3.892,0.198,4.188,0.015,4.168,0.022,NaN,NaN,0.044,4860,NaN,3.14088,NaN,NaN,NaN,4.98,NaN,1.25,NaN,DWARF,12.46518,NaN,63.77551,3.25385,0.0721594,NaN,43,0.0003080147,,1,bright;knownplanet
21,47 UMa,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,149.069855,31.061608,21535479,164.866588,40.430187,-316,55,4.456,STAR,2mass,0.2584160101841,20180610,8,8,71.04,0.66,5.646,0.021,5.03352,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.296,3.736,0.224,3.75,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.319,5892,NaN,4.27146,NaN,0.04,0.1,1.23,NaN,1.03,NaN,DWARF,1.642691,NaN,14.07658,0.130779,0.0113009,NaN,14,0.0003648282,,1,bright;knownplanet
22,47 UMa,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,149.069855,31.061608,21535479,164.866588,40.430187,-316,55,4.456,STAR,2mass,0.2584160101841,20180610,8,8,71.04,0.66,5.646,0.021,5.03352,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.296,3.736,0.224,3.75,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.319,5892,NaN,4.27146,NaN,0.04,0.1,1.23,NaN,1.03,NaN,DWARF,1.642691,NaN,14.07658,0.130779,0.0113009,NaN,14,0.0003648282,,1,bright;knownplanet
23,47 UMa,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,149.069855,31.061608,21535479,164.866588,40.430187,-316,55,4.456,STAR,2mass,0.2584160101841,20180610,8,8,71.04,0.66,5.646,0.021,5.03352,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.296,3.736,0.224,3.75,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.319,5892,NaN,4.27146,NaN,0.04,0.1,1.23,NaN,1.03,NaN,DWARF,1.642691,NaN,14.07658,0.130779,0.0113009,NaN,14,0.0003648282,,1,bright;knownplanet
555,HD 22781,03h40m49.53s,55.206356,+31d49m34.6s,31.82629,60.298154,11.904653,101166776,55.206416,31.826239,40.0076,-93.95,7.90134,STAR,2mass,0.25959631801034,20180610,0.0668119,0.0433526,31.8336,0.531247,9.627,0.034,8.78,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.149,0.018,6.686,0.02,6.607,0.021,6.57,0.074,6.606,0.022,6.603,0.026,6.583,0.186,8.45868,0.000345996,0.0168121,5027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75,NaN,GIANT,NaN,NaN,NaN,NaN,2.45213,NaN,23,9.15148E-05,,0,knownplanet
801,K2-116,22h24m36.39s,336.151611,-11d34m43.3s,-11.578691,333.678882,-1.523994,39936432,336.151592,-11.578621,168.9,-145.519,9.53702,STAR,2mass,0.260756746617559,20180610,0.214615,0.128525,20.0833,0.247968,11.982,0.037,10.8,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.597,0.029,8.02,0.046,7.875,0.027,7.767,0.027,7.865,0.021,7.811,0.02,7.701,0.152,10.2279,0.000345996,0.0191459,4348.35,NaN,4.62513,NaN,NaN,NaN,0.67,NaN,0.69,NaN,DWARF,0.1445913,NaN,NaN,NaN,0.0406358,NaN,23,0.02288701,,0,knownplanet
