RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST,dec,elat,elon,ra,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
24.604344,-55.772082,9.956,5640.0,0.002823978747010001,1.06,1.12,6.04766282848e-05,347.431599,-58.400998,145.98092649,230982885,knownplanet,-55.772082,-58.40100559763869,347.43161484992294,24.604344,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13.079765,10.794715,11.395,5590.0,0.0,0.83,0.93,0.015254582765200001,16.226332,4.7845379999999995,252.33503755599997,266015990,knownplanet,10.794715,4.784535306267075,16.22633342842915,13.079765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.210556,-19.507013,6.99,6055.0,0.004606386434880001,1.33,1.24,0.000307595524773,18.379454,-28.921383000000002,50.2557892127,266680498,knownplanet,-19.507013,-28.921385892219007,18.379461691503586,28.210556,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5.160558999999999,-23.935731,10.211,5940.0,0.00109615844126,1.39,1.2,8.88899670367e-05,354.605817,-23.88706,,211438925,knownplanet,-23.935731,-23.887066648458617,354.605822658389,5.160558999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5.21807,-19.931184,7.7070000000000025,6317.0,0.00217140905984,1.93,1.5,3.64412014139e-05,356.50646800000015,-20.289957,118.032149925,211439561,knownplanet,-19.931184,-20.289963415597683,356.5064735166439,5.21807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.622169,-5.047396,6.942,6024.0,0.0065919623533799996,1.01,1.05,1.32431269227e-05,15.221048000000001,-11.961121,36.8475598573,248381971,knownplanet,-5.047396,-11.96112413140193,15.221052563183827,18.622169,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26.632738,2.700546,9.011000000000001,6250.0,0.00146022787993,1.73,1.46,6.87546006677e-05,25.691565,-7.751996000000001,,293435336,knownplanet,2.700546,-7.751997074629257,25.691568412628037,26.632738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.550552,2.702849,10.537,6410.0,0.0,1.7,1.32,3.23862833184e-05,19.072117000000002,-5.1462650000000005,406.84851838099996,380907135,knownplanet,2.702849,-5.146267053381173,19.07211952935528,19.550552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.739677,4.381432,8.244,5261.0,0.0,0.86,0.86,0.000820166680668,9.752727,0.56312,45.8295142071,318707987,knownplanet,4.381432,0.5631155364145045,9.752729072817177,8.739677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.263334000000004,0.758835,10.141,6059.0,0.000499481232933,2.26,1.56,0.00022188103543699999,27.480494,-10.502309,299.154811284,422655579,knownplanet,0.758835,-10.502309387908596,27.480497518656996,29.263334000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3.961682,1.200447,10.992,6100.0,0.0,1.11,1.1,0.000507299824706,4.112225,-0.472963,232.420516732,427332229,knownplanet,1.200447,-0.47296810747474394,4.112226475510274,3.961682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
